Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2435.940314600542
2096-Dec-31 01:00:00, 2435.9405338005618
2096-Dec-31 02:00:00, 2435.9405991245908
2096-Dec-31 03:00:00, 2435.9406918155178
2096-Dec-31 04:00:00, 2435.9407253571312
2096-Dec-31 05:00:00, 2435.9407790841133
2096-Dec-31 06:00:00, 2435.9407981984882
2096-Dec-31 07:00:00, 2435.940835945471
2096-Dec-31 08:00:00, 2435.9408469350901
2096-Dec-31 09:00:00, 2435.9408767566015
2096-Dec-31 10:00:00, 2435.9408814839594
2096-Dec-31 11:00:00, 2435.9409061503452
2096-Dec-31 12:00:00, 2435.9409079467709
2096-Dec-31 13:00:00, 2435.9409299192744
2096-Dec-31 14:00:00, 2435.9409296156223
2096-Dec-31 15:00:00, 2435.9409482345604
2096-Dec-31 16:00:00, 2435.940947250042
2096-Dec-31 17:00:00, 2435.9409641263906
2096-Dec-31 18:00:00, 2435.9409616773073
2096-Dec-31 19:00:00, 2435.9409765387322
2096-Dec-31 20:00:00, 2435.9409735001468
2096-Dec-31 21:00:00, 2435.9409871278085
2096-Dec-31 22:00:00, 2435.9409841431043
2096-Dec-31 23:00:00, 2435.9409967452675
2097-Jan-01 00:00:00, 2435.9409929380276
2097-Jan-01 01:00:00, 2435.9410041435667
2097-Jan-01 02:00:00, 2435.9410002014583
2097-Jan-01 03:00:00, 2435.9410102669035
2097-Jan-01 04:00:00, 2435.9410066918417
2097-Jan-01 05:00:00, 2435.9410160268699
2097-Jan-01 06:00:00, 2435.9410127188626
2097-Jan-01 07:00:00, 2435.9410214439094
2097-Jan-01 08:00:00, 2435.9410176176316
2097-Jan-01 09:00:00, 2435.9410263557475
2097-Jan-01 10:00:00, 2435.9410217615236
2097-Jan-01 11:00:00, 2435.9410290866049
2097-Jan-01 12:00:00, 2435.9410251798436
2097-Jan-01 13:00:00, 2435.9410329820535
2097-Jan-01 14:00:00, 2435.9410284718169
2097-Jan-01 15:00:00, 2435.9410356711323
2097-Jan-01 16:00:00, 2435.9410323587372
2097-Jan-01 17:00:00, 2435.9410372203179
2097-Jan-01 18:00:00, 2435.9410342020683
2097-Jan-01 19:00:00, 2435.9410402503395
2097-Jan-01 20:00:00, 2435.9410369021634
2097-Jan-01 21:00:00, 2435.941042656335
2097-Jan-01 22:00:00, 2435.9410390941489
2097-Jan-01 23:00:00, 2435.9410439647336
2097-Jan-02 00:00:00, 2435.9410407968298
2097-Jan-02 01:00:00, 2435.9410459472665
2097-Jan-02 02:00:00, 2435.9410429202935
2097-Jan-02 03:00:00, 2435.9410470474304
2097-Jan-02 04:00:00, 2435.941044131207
2097-Jan-02 05:00:00, 2435.941048279703
2097-Jan-02 06:00:00, 2435.9410451753793
2097-Jan-02 07:00:00, 2435.9410491756184
2097-Jan-02 08:00:00, 2435.941046331207
2097-Jan-02 09:00:00, 2435.9410498361954
2097-Jan-02 10:00:00, 2435.9410474164388
2097-Jan-02 11:00:00, 2435.9410506959707
2097-Jan-02 12:00:00, 2435.9410485212738
2097-Jan-02 13:00:00, 2435.9410515181544
2097-Jan-02 14:00:00, 2435.9410491128565
2097-Jan-02 15:00:00, 2435.9410528668313
2097-Jan-02 16:00:00, 2435.9410500695421
2097-Jan-02 17:00:00, 2435.9410534527933
2097-Jan-02 18:00:00, 2435.9410516044127
2097-Jan-02 19:00:00, 2435.9410540807526
2097-Jan-02 20:00:00, 2435.9410520601664
2097-Jan-02 21:00:00, 2435.9410544711468
2097-Jan-02 22:00:00, 2435.9410529947136
2097-Jan-02 23:00:00, 2435.9410555101117
2097-Jan-03 00:00:00, 2435.9410532890429
2097-Jan-03 01:00:00, 2435.9410552817953
2097-Jan-03 02:00:00, 2435.9410536484979
2097-Jan-03 03:00:00, 2435.9410561111008
2097-Jan-03 04:00:00, 2435.9410542571854
2097-Jan-03 05:00:00, 2435.9410568767771
2097-Jan-03 06:00:00, 2435.9410547499579
2097-Jan-03 07:00:00, 2435.9410569115571
2097-Jan-03 08:00:00, 2435.9410559884909
2097-Jan-03 09:00:00, 2435.9410575588445
2097-Jan-03 10:00:00, 2435.9410567096602
2097-Jan-03 11:00:00, 2435.9410578508564
2097-Jan-03 12:00:00, 2435.9410569769916
2097-Jan-03 13:00:00, 2435.9410585444962
2097-Jan-03 14:00:00, 2435.941057591263
2097-Jan-03 15:00:00, 2435.9410592537961
2097-Jan-03 16:00:00, 2435.9410584112265
2097-Jan-03 17:00:00, 2435.9410596779421
2097-Jan-03 18:00:00, 2435.9410592663962
2097-Jan-03 19:00:00, 2435.9410597016545
2097-Jan-03 20:00:00, 2435.9410599118655
2097-Jan-03 21:00:00, 2435.9410607602517
2097-Jan-03 22:00:00, 2435.9410604181762
2097-Jan-03 23:00:00, 2435.9410610624145
2097-Jan-04 00:00:00, 2435.941061409384
2097-Jan-04 01:00:00, 2435.9410620842186
2097-Jan-04 02:00:00, 2435.9410622022187
2097-Jan-04 03:00:00, 2435.9410629049025
2097-Jan-04 04:00:00, 2435.9410623455251
