Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2435.9402313069691
2096-Dec-31 01:00:00, 2435.9404328973915
2096-Dec-31 02:00:00, 2435.9405576335503
2096-Dec-31 03:00:00, 2435.9406412145609
2096-Dec-31 04:00:00, 2435.9407020188169
2096-Dec-31 05:00:00, 2435.9407462947111
2096-Dec-31 06:00:00, 2435.9407831218468
2096-Dec-31 07:00:00, 2435.9408117398343
2096-Dec-31 08:00:00, 2435.9408364301457
2096-Dec-31 09:00:00, 2435.9408573451678
2096-Dec-31 10:00:00, 2435.9408748551705
2096-Dec-31 11:00:00, 2435.9408908683381
2096-Dec-31 12:00:00, 2435.9409041590457
2096-Dec-31 13:00:00, 2435.9409158314475
2096-Dec-31 14:00:00, 2435.9409266151938
2096-Dec-31 15:00:00, 2435.9409362482684
2096-Dec-31 16:00:00, 2435.9409448307847
2096-Dec-31 17:00:00, 2435.9409521813936
2096-Dec-31 18:00:00, 2435.9409602401024
2096-Dec-31 19:00:00, 2435.940967486401
2096-Dec-31 20:00:00, 2435.9409723983667
2096-Dec-31 21:00:00, 2435.9409784236586
2096-Dec-31 22:00:00, 2435.9409843610001
2096-Dec-31 23:00:00, 2435.9409876450118
2097-Jan-01 00:00:00, 2435.9409922731916
2097-Jan-01 01:00:00, 2435.9409969079416
2097-Jan-01 02:00:00, 2435.9409993784084
2097-Jan-01 03:00:00, 2435.9410039775712
2097-Jan-01 04:00:00, 2435.94100624152
2097-Jan-01 05:00:00, 2435.9410103983414
2097-Jan-01 06:00:00, 2435.9410130417727
2097-Jan-01 07:00:00, 2435.9410162342997
2097-Jan-01 08:00:00, 2435.9410170286528
2097-Jan-01 09:00:00, 2435.9410213718556
2097-Jan-01 10:00:00, 2435.9410226681639
2097-Jan-01 11:00:00, 2435.9410239697554
2097-Jan-01 12:00:00, 2435.9410264916269
2097-Jan-01 13:00:00, 2435.9410272194827
2097-Jan-01 14:00:00, 2435.9410297508771
2097-Jan-01 15:00:00, 2435.9410315948312
2097-Jan-01 16:00:00, 2435.9410326183952
2097-Jan-01 17:00:00, 2435.9410342073925
2097-Jan-01 18:00:00, 2435.9410354201436
2097-Jan-01 19:00:00, 2435.9410367780947
2097-Jan-01 20:00:00, 2435.9410382942083
2097-Jan-01 21:00:00, 2435.9410389114341
2097-Jan-01 22:00:00, 2435.9410399574444
2097-Jan-01 23:00:00, 2435.9410403811221
2097-Jan-02 00:00:00, 2435.9410413393416
2097-Jan-02 01:00:00, 2435.9410427613498
2097-Jan-02 02:00:00, 2435.9410438891587
2097-Jan-02 03:00:00, 2435.9410438748387
2097-Jan-02 04:00:00, 2435.941044646408
2097-Jan-02 05:00:00, 2435.9410465430724
2097-Jan-02 06:00:00, 2435.9410459453734
2097-Jan-02 07:00:00, 2435.9410470735288
2097-Jan-02 08:00:00, 2435.941047174706
2097-Jan-02 09:00:00, 2435.9410479298263
2097-Jan-02 10:00:00, 2435.9410485831909
2097-Jan-02 11:00:00, 2435.9410492511797
2097-Jan-02 12:00:00, 2435.9410495940433
2097-Jan-02 13:00:00, 2435.9410506711588
2097-Jan-02 14:00:00, 2435.9410505420801
2097-Jan-02 15:00:00, 2435.941051210807
2097-Jan-02 16:00:00, 2435.9410514999399
2097-Jan-02 17:00:00, 2435.9410510746397
2097-Jan-02 18:00:00, 2435.9410518878994
2097-Jan-02 19:00:00, 2435.9410523512615
2097-Jan-02 20:00:00, 2435.9410525665676
2097-Jan-02 21:00:00, 2435.9410534947774
2097-Jan-02 22:00:00, 2435.9410532674551
2097-Jan-02 23:00:00, 2435.9410536031455
2097-Jan-03 00:00:00, 2435.9410545217365
2097-Jan-03 01:00:00, 2435.941053966736
2097-Jan-03 02:00:00, 2435.9410545731293
2097-Jan-03 03:00:00, 2435.9410551859532
2097-Jan-03 04:00:00, 2435.9410551944829
2097-Jan-03 05:00:00, 2435.9410554209171
2097-Jan-03 06:00:00, 2435.9410560849828
2097-Jan-03 07:00:00, 2435.9410559311336
2097-Jan-03 08:00:00, 2435.9410564754539
2097-Jan-03 09:00:00, 2435.9410567504196
2097-Jan-03 10:00:00, 2435.9410570729588
2097-Jan-03 11:00:00, 2435.9410568174685
2097-Jan-03 12:00:00, 2435.941057040649
2097-Jan-03 13:00:00, 2435.9410580031717
2097-Jan-03 14:00:00, 2435.9410588333976
2097-Jan-03 15:00:00, 2435.9410588878241
2097-Jan-03 16:00:00, 2435.9410583931881
2097-Jan-03 17:00:00, 2435.9410584065222
2097-Jan-03 18:00:00, 2435.9410593976836
2097-Jan-03 19:00:00, 2435.9410598192858
2097-Jan-03 20:00:00, 2435.941060113164
2097-Jan-03 21:00:00, 2435.9410603992119
2097-Jan-03 22:00:00, 2435.9410610684777
2097-Jan-03 23:00:00, 2435.9410609237834
2097-Jan-04 00:00:00, 2435.9410616559121
2097-Jan-04 01:00:00, 2435.9410613917885
2097-Jan-04 02:00:00, 2435.9410613607179
2097-Jan-04 03:00:00, 2435.9410621416805
2097-Jan-04 04:00:00, 2435.9410621095267
2097-Jan-04 05:00:00, 2435.9410634664141
2097-Jan-04 06:00:00, 2435.9410643974115
2097-Jan-04 07:00:00, 2435.9410645967228
2097-Jan-04 08:00:00, 2435.9410645749763
2097-Jan-04 09:00:00, 2435.9410647751729
2097-Jan-04 10:00:00, 2435.9410650979385
2097-Jan-04 11:00:00, 2435.941065867868
2097-Jan-04 12:00:00, 2435.9410661397287
2097-Jan-04 13:00:00, 2435.9410670615725
2097-Jan-04 14:00:00, 2435.9410676271809
2097-Jan-04 15:00:00, 2435.94106815141
2097-Jan-04 16:00:00, 2435.9410682920707
2097-Jan-04 17:00:00, 2435.9410690039545
2097-Jan-04 18:00:00, 2435.941069242991
2097-Jan-04 19:00:00, 2435.9410696925324
2097-Jan-04 20:00:00, 2435.9410706737199
2097-Jan-04 21:00:00, 2435.9410709366553
2097-Jan-04 22:00:00, 2435.9410715280032
2097-Jan-04 23:00:00, 2435.9410718069826
