Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2512.5922335134128
2096-Dec-31 01:00:00, 2528.8472354732285
2096-Dec-31 02:00:00, 2537.9546584527016
2096-Dec-31 03:00:00, 2543.4288650264207
2096-Dec-31 04:00:00, 2546.9263438376784
2096-Dec-31 05:00:00, 2549.2926990570268
2096-Dec-31 06:00:00, 2550.9721011829456
2096-Dec-31 07:00:00, 2552.2147317615181
2096-Dec-31 08:00:00, 2553.1676580742383
2096-Dec-31 09:00:00, 2553.9210328652962
2096-Dec-31 10:00:00, 2554.5321560888951
2096-Dec-31 11:00:00, 2555.0387093577197
2096-Dec-31 12:00:00, 2555.466260424349
2096-Dec-31 13:00:00, 2555.8326686866244
2096-Dec-31 14:00:00, 2556.1507441899539
2096-Dec-31 15:00:00, 2556.4299003818378
2096-Dec-31 16:00:00, 2556.6772073454026
2096-Dec-31 17:00:00, 2556.8980806839313
2096-Dec-31 18:00:00, 2557.0967427615533
2096-Dec-31 19:00:00, 2557.2765376552693
2096-Dec-31 20:00:00, 2557.440151878875
2096-Dec-31 21:00:00, 2557.5897706839578
2096-Dec-31 22:00:00, 2557.7271924392526
2096-Dec-31 23:00:00, 2557.8539115644094
2097-Jan-01 00:00:00, 2557.971182146659
2097-Jan-01 01:00:00, 2558.0800646669813
2097-Jan-01 02:00:00, 2558.1814629991409
2097-Jan-01 03:00:00, 2558.276152937181
2097-Jan-01 04:00:00, 2558.3648039338677
2097-Jan-01 05:00:00, 2558.4479978939094
2097-Jan-01 06:00:00, 2558.5262425964152
2097-Jan-01 07:00:00, 2558.5999837161057
2097-Jan-01 08:00:00, 2558.669613766463
2097-Jan-01 09:00:00, 2558.7354804417359
2097-Jan-01 10:00:00, 2558.7978922091893
2097-Jan-01 11:00:00, 2558.8571246023398
2097-Jan-01 12:00:00, 2558.9134240022413
2097-Jan-01 13:00:00, 2558.9670114623623
2097-Jan-01 14:00:00, 2559.0180861402678
2097-Jan-01 15:00:00, 2559.0668278002813
2097-Jan-01 16:00:00, 2559.1133992674877
2097-Jan-01 17:00:00, 2559.157948150932
2097-Jan-01 18:00:00, 2559.2006090459404
2097-Jan-01 19:00:00, 2559.2415044921358
2097-Jan-01 20:00:00, 2559.280746481686
2097-Jan-01 21:00:00, 2559.3184376718959
2097-Jan-01 22:00:00, 2559.3546722138558
2097-Jan-01 23:00:00, 2559.3895367219034
2097-Jan-02 00:00:00, 2559.4231108829513
