Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2555.4939673599742
2096-Dec-31 01:00:00, 2555.4939671155739
2096-Dec-31 02:00:00, 2555.493966906015
2096-Dec-31 03:00:00, 2555.4939667259359
2096-Dec-31 04:00:00, 2555.4939665753532
2096-Dec-31 05:00:00, 2555.4939664518065
2096-Dec-31 06:00:00, 2555.4939663517316
2096-Dec-31 07:00:00, 2555.4939662733564
2096-Dec-31 08:00:00, 2555.4939662123124
2096-Dec-31 09:00:00, 2555.4939661674825
2096-Dec-31 10:00:00, 2555.4939661348294
2096-Dec-31 11:00:00, 2555.4939661139447
2096-Dec-31 12:00:00, 2555.4939660999471
2096-Dec-31 13:00:00, 2555.4939660946543
2096-Dec-31 14:00:00, 2555.4939660929017
2096-Dec-31 15:00:00, 2555.4939660965128
2096-Dec-31 16:00:00, 2555.4939661019234
2096-Dec-31 17:00:00, 2555.4939661106691
2096-Dec-31 18:00:00, 2555.4939661193107
2096-Dec-31 19:00:00, 2555.4939661303265
2096-Dec-31 20:00:00, 2555.4939661403869
2096-Dec-31 21:00:00, 2555.4939661516273
2096-Dec-31 22:00:00, 2555.4939661613821
2096-Dec-31 23:00:00, 2555.493966172251
2097-Jan-01 00:00:00, 2555.4939661810304
2097-Jan-01 01:00:00, 2555.4939661902122
2097-Jan-01 02:00:00, 2555.4939661976618
2097-Jan-01 03:00:00, 2555.4939662051502
2097-Jan-01 04:00:00, 2555.4939662104243
2097-Jan-01 05:00:00, 2555.4939662162465
2097-Jan-01 06:00:00, 2555.493966219818
2097-Jan-01 07:00:00, 2555.4939662240527
2097-Jan-01 08:00:00, 2555.4939662261213
2097-Jan-01 09:00:00, 2555.4939662288866
2097-Jan-01 10:00:00, 2555.4939662296847
2097-Jan-01 11:00:00, 2555.4939662309644
2097-Jan-01 12:00:00, 2555.4939662304987
2097-Jan-01 13:00:00, 2555.4939662303136
2097-Jan-01 14:00:00, 2555.4939662288234
2097-Jan-01 15:00:00, 2555.4939662277447
2097-Jan-01 16:00:00, 2555.4939662249126
2097-Jan-01 17:00:00, 2555.4939662233019
2097-Jan-01 18:00:00, 2555.4939662202041
2097-Jan-01 19:00:00, 2555.4939662175161
2097-Jan-01 20:00:00, 2555.4939662139832
2097-Jan-01 21:00:00, 2555.4939662112988
2097-Jan-01 22:00:00, 2555.4939662072061
2097-Jan-01 23:00:00, 2555.4939662041429
2097-Jan-02 00:00:00, 2555.493966199781
2097-Jan-02 01:00:00, 2555.4939661963558
2097-Jan-02 02:00:00, 2555.4939661919943
2097-Jan-02 03:00:00, 2555.4939661889721
2097-Jan-02 04:00:00, 2555.493966184164
2097-Jan-02 05:00:00, 2555.4939661808498
2097-Jan-02 06:00:00, 2555.4939661765393
2097-Jan-02 07:00:00, 2555.4939661729809
2097-Jan-02 08:00:00, 2555.4939661687999
2097-Jan-02 09:00:00, 2555.4939661655935
2097-Jan-02 10:00:00, 2555.4939661616881
2097-Jan-02 11:00:00, 2555.4939661583167
