Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2155.2506637087799
2096-Dec-31 01:00:00, 2155.2506638569034
2096-Dec-31 02:00:00, 2155.2506639529615
2096-Dec-31 03:00:00, 2155.2506640436563
2096-Dec-31 04:00:00, 2155.2506641114674
2096-Dec-31 05:00:00, 2155.2506641784607
2096-Dec-31 06:00:00, 2155.2506642294566
2096-Dec-31 07:00:00, 2155.2506642829371
2096-Dec-31 08:00:00, 2155.2506643245724
2096-Dec-31 09:00:00, 2155.2506643660427
2096-Dec-31 10:00:00, 2155.2506644013215
2096-Dec-31 11:00:00, 2155.2506644375676
2096-Dec-31 12:00:00, 2155.250664468269
2096-Dec-31 13:00:00, 2155.2506644987229
2096-Dec-31 14:00:00, 2155.2506645253147
2096-Dec-31 15:00:00, 2155.2506645528347
2096-Dec-31 16:00:00, 2155.2506645758026
2096-Dec-31 17:00:00, 2155.2506646007546
2096-Dec-31 18:00:00, 2155.2506646207576
2096-Dec-31 19:00:00, 2155.2506646442857
2096-Dec-31 20:00:00, 2155.2506646615147
2096-Dec-31 21:00:00, 2155.2506646818942
2096-Dec-31 22:00:00, 2155.2506646981637
2096-Dec-31 23:00:00, 2155.250664717556
2097-Jan-01 00:00:00, 2155.2506647313376
2097-Jan-01 01:00:00, 2155.250664748678
2097-Jan-01 02:00:00, 2155.2506647624859
2097-Jan-01 03:00:00, 2155.2506647784439
2097-Jan-01 04:00:00, 2155.2506647912683
2097-Jan-01 05:00:00, 2155.2506648056492
2097-Jan-01 06:00:00, 2155.250664816876
2097-Jan-01 07:00:00, 2155.2506648319149
2097-Jan-01 08:00:00, 2155.2506648417088
2097-Jan-01 09:00:00, 2155.2506648550334
2097-Jan-01 10:00:00, 2155.2506648642448
2097-Jan-01 11:00:00, 2155.2506648768681
2097-Jan-01 12:00:00, 2155.2506648861149
2097-Jan-01 13:00:00, 2155.2506648980002
2097-Jan-01 14:00:00, 2155.2506649064767
2097-Jan-01 15:00:00, 2155.2506649176689
2097-Jan-01 16:00:00, 2155.2506649260531
