Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2155.2506636959401
2096-Dec-31 01:00:00, 2155.2506638257582
2096-Dec-31 02:00:00, 2155.2506639314047
2096-Dec-31 03:00:00, 2155.2506640185229
2096-Dec-31 04:00:00, 2155.2506640927645
2096-Dec-31 05:00:00, 2155.2506641573755
2096-Dec-31 06:00:00, 2155.2506642148551
2096-Dec-31 07:00:00, 2155.250664266382
2096-Dec-31 08:00:00, 2155.2506643125034
2096-Dec-31 09:00:00, 2155.2506643545116
2096-Dec-31 10:00:00, 2155.2506643926085
2096-Dec-31 11:00:00, 2155.2506644282817
2096-Dec-31 12:00:00, 2155.2506644610844
2096-Dec-31 13:00:00, 2155.2506644921018
2096-Dec-31 14:00:00, 2155.2506645205845
2096-Dec-31 15:00:00, 2155.2506645475737
2096-Dec-31 16:00:00, 2155.2506645727349
2096-Dec-31 17:00:00, 2155.2506645964177
2096-Dec-31 18:00:00, 2155.2506646186152
2096-Dec-31 19:00:00, 2155.2506646401152
2096-Dec-31 20:00:00, 2155.2506646602119
2096-Dec-31 21:00:00, 2155.2506646798602
2096-Dec-31 22:00:00, 2155.2506646980464
2096-Dec-31 23:00:00, 2155.2506647150453
2097-Jan-01 00:00:00, 2155.2506647319792
2097-Jan-01 01:00:00, 2155.2506647476594
2097-Jan-01 02:00:00, 2155.250664762852
2097-Jan-01 03:00:00, 2155.2506647783443
2097-Jan-01 04:00:00, 2155.2506647931482
2097-Jan-01 05:00:00, 2155.2506648065473
2097-Jan-01 06:00:00, 2155.2506648198923
2097-Jan-01 07:00:00, 2155.2506648324065
2097-Jan-01 08:00:00, 2155.2506648441063
2097-Jan-01 09:00:00, 2155.2506648570279
2097-Jan-01 10:00:00, 2155.2506648687354
2097-Jan-01 11:00:00, 2155.2506648794142
2097-Jan-01 12:00:00, 2155.2506648903109
2097-Jan-01 13:00:00, 2155.2506649006486
2097-Jan-01 14:00:00, 2155.2506649107677
2097-Jan-01 15:00:00, 2155.2506649207799
2097-Jan-01 16:00:00, 2155.2506649303009
2097-Jan-01 17:00:00, 2155.250664940123
2097-Jan-01 18:00:00, 2155.2506649497577
2097-Jan-01 19:00:00, 2155.2506649595334
2097-Jan-01 20:00:00, 2155.2506649680081
2097-Jan-01 21:00:00, 2155.2506649763186
2097-Jan-01 22:00:00, 2155.2506649848979
2097-Jan-01 23:00:00, 2155.250664992227
2097-Jan-02 00:00:00, 2155.2506650004016
2097-Jan-02 01:00:00, 2155.2506650079713
2097-Jan-02 02:00:00, 2155.2506650154319
2097-Jan-02 03:00:00, 2155.2506650230744
2097-Jan-02 04:00:00, 2155.2506650300156
2097-Jan-02 05:00:00, 2155.2506650370024
2097-Jan-02 06:00:00, 2155.2506650441283
2097-Jan-02 07:00:00, 2155.2506650506693
2097-Jan-02 08:00:00, 2155.2506650568462
2097-Jan-02 09:00:00, 2155.2506650630726
2097-Jan-02 10:00:00, 2155.2506650700548
2097-Jan-02 11:00:00, 2155.2506650761875
2097-Jan-02 12:00:00, 2155.2506650817363
2097-Jan-02 13:00:00, 2155.2506650875584
2097-Jan-02 14:00:00, 2155.2506650931764
2097-Jan-02 15:00:00, 2155.2506650985151
2097-Jan-02 16:00:00, 2155.2506651039976
2097-Jan-02 17:00:00, 2155.2506651096933
2097-Jan-02 18:00:00, 2155.2506651152808
2097-Jan-02 19:00:00, 2155.2506651200442
2097-Jan-02 20:00:00, 2155.2506651250437
2097-Jan-02 21:00:00, 2155.2506651303584
2097-Jan-02 22:00:00, 2155.2506651353247
2097-Jan-02 23:00:00, 2155.2506651406752
2097-Jan-03 00:00:00, 2155.2506651457761
2097-Jan-03 01:00:00, 2155.2506651509657
2097-Jan-03 02:00:00, 2155.2506651554136
2097-Jan-03 03:00:00, 2155.2506651598992
2097-Jan-03 04:00:00, 2155.2506651640447
2097-Jan-03 05:00:00, 2155.2506651683102
2097-Jan-03 06:00:00, 2155.2506651727308
2097-Jan-03 07:00:00, 2155.2506651772323
2097-Jan-03 08:00:00, 2155.2506651815811
2097-Jan-03 09:00:00, 2155.2506651856643
2097-Jan-03 10:00:00, 2155.2506651895951
2097-Jan-03 11:00:00, 2155.2506651939439
2097-Jan-03 12:00:00, 2155.2506651978674
2097-Jan-03 13:00:00, 2155.2506652018028
2097-Jan-03 14:00:00, 2155.250665205564
2097-Jan-03 15:00:00, 2155.2506652087941
2097-Jan-03 16:00:00, 2155.2506652122556
2097-Jan-03 17:00:00, 2155.2506652162801
2097-Jan-03 18:00:00, 2155.2506652203165
2097-Jan-03 19:00:00, 2155.250665223889
2097-Jan-03 20:00:00, 2155.2506652279735
2097-Jan-03 21:00:00, 2155.2506652308571
2097-Jan-03 22:00:00, 2155.2506652341294
2097-Jan-03 23:00:00, 2155.2506652376178
2097-Jan-04 00:00:00, 2155.2506652407737
2097-Jan-04 01:00:00, 2155.2506652444636
2097-Jan-04 02:00:00, 2155.2506652474826
2097-Jan-04 03:00:00, 2155.2506652506204
2097-Jan-04 04:00:00, 2155.2506652537245
2097-Jan-04 05:00:00, 2155.2506652567126
2097-Jan-04 06:00:00, 2155.2506652598099
2097-Jan-04 07:00:00, 2155.2506652627135
2097-Jan-04 08:00:00, 2155.2506652657962
2097-Jan-04 09:00:00, 2155.2506652685279
2097-Jan-04 10:00:00, 2155.2506652716229
2097-Jan-04 11:00:00, 2155.2506652746929
2097-Jan-04 12:00:00, 2155.2506652776819
2097-Jan-04 13:00:00, 2155.2506652804586
2097-Jan-04 14:00:00, 2155.250665282676
2097-Jan-04 15:00:00, 2155.2506652854427
2097-Jan-04 16:00:00, 2155.2506652881798
2097-Jan-04 17:00:00, 2155.2506652909087
2097-Jan-04 18:00:00, 2155.2506652935831
2097-Jan-04 19:00:00, 2155.2506652967209
2097-Jan-04 20:00:00, 2155.2506652990619
2097-Jan-04 21:00:00, 2155.2506653014862
2097-Jan-04 22:00:00, 2155.2506653037603
2097-Jan-04 23:00:00, 2155.2506653063147
2097-Jan-05 00:00:00, 2155.2506653088999
2097-Jan-05 01:00:00, 2155.2506653108176
2097-Jan-05 02:00:00, 2155.2506653133028
2097-Jan-05 03:00:00, 2155.2506653156161
2097-Jan-05 04:00:00, 2155.250665317943
2097-Jan-05 05:00:00, 2155.2506653200257
2097-Jan-05 06:00:00, 2155.2506653220566
2097-Jan-05 07:00:00, 2155.2506653244277
2097-Jan-05 08:00:00, 2155.2506653268119
2097-Jan-05 09:00:00, 2155.2506653293303
2097-Jan-05 10:00:00, 2155.2506653312093
2097-Jan-05 11:00:00, 2155.2506653335768
2097-Jan-05 12:00:00, 2155.2506653359546
2097-Jan-05 13:00:00, 2155.2506653373725
2097-Jan-05 14:00:00, 2155.2506653396872
2097-Jan-05 15:00:00, 2155.2506653419109
2097-Jan-05 16:00:00, 2155.250665344091
2097-Jan-05 17:00:00, 2155.2506653461746
2097-Jan-05 18:00:00, 2155.2506653478581
2097-Jan-05 19:00:00, 2155.250665350216
2097-Jan-05 20:00:00, 2155.2506653523778
2097-Jan-05 21:00:00, 2155.2506653540477
2097-Jan-05 22:00:00, 2155.250665356215
2097-Jan-05 23:00:00, 2155.2506653580226
2097-Jan-06 00:00:00, 2155.2506653596097
2097-Jan-06 01:00:00, 2155.2506653617324
2097-Jan-06 02:00:00, 2155.2506653634032
2097-Jan-06 03:00:00, 2155.2506653653422
2097-Jan-06 04:00:00, 2155.2506653672931
2097-Jan-06 05:00:00, 2155.2506653691757
2097-Jan-06 06:00:00, 2155.2506653710152
2097-Jan-06 07:00:00, 2155.2506653723794
2097-Jan-06 08:00:00, 2155.2506653744476
2097-Jan-06 09:00:00, 2155.250665375549
2097-Jan-06 10:00:00, 2155.2506653773894
2097-Jan-06 11:00:00, 2155.2506653790329
2097-Jan-06 12:00:00, 2155.2506653806495
2097-Jan-06 13:00:00, 2155.2506653830364
2097-Jan-06 14:00:00, 2155.2506653846972
2097-Jan-06 15:00:00, 2155.25066538685
2097-Jan-06 16:00:00, 2155.250665388221
2097-Jan-06 17:00:00, 2155.2506653896176
2097-Jan-06 18:00:00, 2155.2506653911842
2097-Jan-06 19:00:00, 2155.2506653931036
2097-Jan-06 20:00:00, 2155.250665394643
2097-Jan-06 21:00:00, 2155.2506653958862
2097-Jan-06 22:00:00, 2155.2506653975865
2097-Jan-06 23:00:00, 2155.2506653992982
2097-Jan-07 00:00:00, 2155.2506654005792
2097-Jan-07 01:00:00, 2155.2506654019817
2097-Jan-07 02:00:00, 2155.2506654037024
2097-Jan-07 03:00:00, 2155.2506654049325
2097-Jan-07 04:00:00, 2155.2506654063659
2097-Jan-07 05:00:00, 2155.2506654077506
2097-Jan-07 06:00:00, 2155.2506654092522
2097-Jan-07 07:00:00, 2155.2506654105428
2097-Jan-07 08:00:00, 2155.2506654122963
2097-Jan-07 09:00:00, 2155.2506654137319
2097-Jan-07 10:00:00, 2155.2506654155372
2097-Jan-07 11:00:00, 2155.2506654163999
2097-Jan-07 12:00:00, 2155.2506654178987
2097-Jan-07 13:00:00, 2155.2506654190497
2097-Jan-07 14:00:00, 2155.2506654207582
2097-Jan-07 15:00:00, 2155.2506654221033
2097-Jan-07 16:00:00, 2155.2506654235904
2097-Jan-07 17:00:00, 2155.2506654251974
2097-Jan-07 18:00:00, 2155.2506654264744
2097-Jan-07 19:00:00, 2155.2506654274353
2097-Jan-07 20:00:00, 2155.2506654285817
2097-Jan-07 21:00:00, 2155.2506654294425
2097-Jan-07 22:00:00, 2155.2506654310923
2097-Jan-07 23:00:00, 2155.2506654324698
2097-Jan-08 00:00:00, 2155.2506654332306
2097-Jan-08 01:00:00, 2155.25066543402
2097-Jan-08 02:00:00, 2155.2506654350223
2097-Jan-08 03:00:00, 2155.2506654367958
2097-Jan-08 04:00:00, 2155.2506654375693
2097-Jan-08 05:00:00, 2155.2506654394128
2097-Jan-08 06:00:00, 2155.2506654406588
2097-Jan-08 07:00:00, 2155.2506654414728
2097-Jan-08 08:00:00, 2155.2506654426898
2097-Jan-08 09:00:00, 2155.2506654438193
2097-Jan-08 10:00:00, 2155.2506654452054
2097-Jan-08 11:00:00, 2155.2506654466233
2097-Jan-08 12:00:00, 2155.2506654479189
2097-Jan-08 13:00:00, 2155.2506654492627
2097-Jan-08 14:00:00, 2155.250665450315
2097-Jan-08 15:00:00, 2155.2506654511599
2097-Jan-08 16:00:00, 2155.2506654520512
2097-Jan-08 17:00:00, 2155.2506654536742
2097-Jan-08 18:00:00, 2155.2506654546096
2097-Jan-08 19:00:00, 2155.2506654561262
2097-Jan-08 20:00:00, 2155.250665456957
2097-Jan-08 21:00:00, 2155.2506654578474
2097-Jan-08 22:00:00, 2155.2506654591807
2097-Jan-08 23:00:00, 2155.2506654604867
2097-Jan-09 00:00:00, 2155.2506654612862
2097-Jan-09 01:00:00, 2155.2506654626709
2097-Jan-09 02:00:00, 2155.2506654634958
2097-Jan-09 03:00:00, 2155.2506654650556
2097-Jan-09 04:00:00, 2155.250665465906
2097-Jan-09 05:00:00, 2155.2506654671006
2097-Jan-09 06:00:00, 2155.2506654683884
2097-Jan-09 07:00:00, 2155.250665469101
2097-Jan-09 08:00:00, 2155.2506654701006
2097-Jan-09 09:00:00, 2155.2506654708918
2097-Jan-09 10:00:00, 2155.2506654716922
2097-Jan-09 11:00:00, 2155.250665473126
2097-Jan-09 12:00:00, 2155.2506654741032
2097-Jan-09 13:00:00, 2155.2506654749504
2097-Jan-09 14:00:00, 2155.2506654759004
2097-Jan-09 15:00:00, 2155.2506654767958
2097-Jan-09 16:00:00, 2155.2506654774875
2097-Jan-09 17:00:00, 2155.2506654785052
2097-Jan-09 18:00:00, 2155.250665479869
2097-Jan-09 19:00:00, 2155.2506654803824
2097-Jan-09 20:00:00, 2155.2506654816143
2097-Jan-09 21:00:00, 2155.2506654823196
2097-Jan-09 22:00:00, 2155.2506654829117
2097-Jan-09 23:00:00, 2155.2506654840308
2097-Jan-10 00:00:00, 2155.2506654846129
2097-Jan-10 01:00:00, 2155.2506654852832
2097-Jan-10 02:00:00, 2155.2506654865738
2097-Jan-10 03:00:00, 2155.2506654875988
2097-Jan-10 04:00:00, 2155.2506654880972
2097-Jan-10 05:00:00, 2155.2506654888193
2097-Jan-10 06:00:00, 2155.2506654897898
2097-Jan-10 07:00:00, 2155.2506654906147
2097-Jan-10 08:00:00, 2155.2506654918029
2097-Jan-10 09:00:00, 2155.2506654928548
2097-Jan-10 10:00:00, 2155.2506654941644
2097-Jan-10 11:00:00, 2155.2506654944532
