Time Stamp, Total Heat Transfer Rate [W]
2097-Jan-01 00:00:00, 3246193.0293952436
2097-Jan-01 01:00:00, 52394.807073765798
2097-Jan-01 02:00:00, 11902.808727238569
2097-Jan-01 03:00:00, 30677.849377054939
2097-Jan-01 04:00:00, 10013.100312684532
2097-Jan-01 05:00:00, 24176.227077662363
2097-Jan-01 06:00:00, 9169.1122046969158
2097-Jan-01 07:00:00, 19572.686828858896
2097-Jan-01 08:00:00, 8522.3606496031352
2097-Jan-01 09:00:00, 16477.369286423578
2097-Jan-01 10:00:00, 8000.091752774485
2097-Jan-01 11:00:00, 14308.476084366786
2097-Jan-01 12:00:00, 7575.4697936186712
2097-Jan-01 13:00:00, 12735.791769607773
2097-Jan-01 14:00:00, 7257.2058508971977
2097-Jan-01 15:00:00, 11590.731457934342
2097-Jan-01 16:00:00, 7031.0982982321311
2097-Jan-01 17:00:00, 10754.853378508004
2097-Jan-01 18:00:00, 6905.3256619089279
2097-Jan-01 19:00:00, 10144.199194460336
2097-Jan-01 20:00:00, 6835.2617732495301
2097-Jan-01 21:00:00, 9692.8670633258789
2097-Jan-01 22:00:00, 6803.0548742115961
2097-Jan-01 23:00:00, 9328.0857017798226
2097-Jan-02 00:00:00, 6767.6349399292694
2097-Jan-02 01:00:00, 9023.0301548088046
2097-Jan-02 02:00:00, 6708.8834715614912
2097-Jan-02 03:00:00, 8700.9438595804659
2097-Jan-02 04:00:00, 6595.8596591255155
2097-Jan-02 05:00:00, 8369.0698885165402
2097-Jan-02 06:00:00, 6427.0922747623708
2097-Jan-02 07:00:00, 8027.3514257116167
2097-Jan-02 08:00:00, 6237.9784127159392
2097-Jan-02 09:00:00, 7686.6083571002218
2097-Jan-02 10:00:00, 6039.9131053633009
2097-Jan-02 11:00:00, 7368.3640263470324
2097-Jan-02 12:00:00, 5869.4574590488965
2097-Jan-02 13:00:00, 7116.2754739867778
2097-Jan-02 14:00:00, 5741.818267258619
2097-Jan-02 15:00:00, 6939.4019319553445
2097-Jan-02 16:00:00, 5699.55983260011
2097-Jan-02 17:00:00, 6834.8347377132186
2097-Jan-02 18:00:00, 5697.8459555099525
2097-Jan-02 19:00:00, 6791.9753827669774
2097-Jan-02 20:00:00, 5760.9897160975042
2097-Jan-02 21:00:00, 6789.7859868484829
2097-Jan-02 22:00:00, 5826.6862947087739
2097-Jan-02 23:00:00, 6801.0263082881347
2097-Jan-03 00:00:00, 5875.9127207883939
2097-Jan-03 01:00:00, 6776.3236123733996
2097-Jan-03 02:00:00, 5877.9437695524002
2097-Jan-03 03:00:00, 6702.5811942351165
2097-Jan-03 04:00:00, 5832.560576654565
2097-Jan-03 05:00:00, 6578.026053054683
2097-Jan-03 06:00:00, 5721.922708578516
2097-Jan-03 07:00:00, 6411.8061163918273
2097-Jan-03 08:00:00, 5583.7148043549805
2097-Jan-03 09:00:00, 6221.0739256463921
2097-Jan-03 10:00:00, 5430.6131061287097
2097-Jan-03 11:00:00, 6045.5954875225207
2097-Jan-03 12:00:00, 5299.7321803131936
2097-Jan-03 13:00:00, 5902.6161713329548
2097-Jan-03 14:00:00, 5207.7470526126544
2097-Jan-03 15:00:00, 5808.7158646742819
2097-Jan-03 16:00:00, 5197.7858697121555
2097-Jan-03 17:00:00, 5792.2756368123919
2097-Jan-03 18:00:00, 5224.6658142817159
2097-Jan-03 19:00:00, 5839.5523353712288
2097-Jan-03 20:00:00, 5313.0842882373699
2097-Jan-03 21:00:00, 5901.8413515859056
2097-Jan-03 22:00:00, 5401.87208162345
2097-Jan-03 23:00:00, 5958.0194586840216
2097-Jan-04 00:00:00, 5472.2850077531002
2097-Jan-04 01:00:00, 5988.8280113563151
2097-Jan-04 02:00:00, 5493.0267171000078
2097-Jan-04 03:00:00, 5963.5749207033314
2097-Jan-04 04:00:00, 5464.4472070301899
2097-Jan-04 05:00:00, 5882.1283322227391
2097-Jan-04 06:00:00, 5368.9411761553683
2097-Jan-04 07:00:00, 5754.4902801030612
2097-Jan-04 08:00:00, 5244.3637741347829
2097-Jan-04 09:00:00, 5598.4245845723999
2097-Jan-04 10:00:00, 5103.5409552509864
2097-Jan-04 11:00:00, 5454.1866304009418
2097-Jan-04 12:00:00, 4983.7234876131024
2097-Jan-04 13:00:00, 5339.4322491428156
2097-Jan-04 14:00:00, 4915.2192950162116
2097-Jan-04 15:00:00, 5284.2406430792635
2097-Jan-04 16:00:00, 4897.3449234790114
2097-Jan-04 17:00:00, 5288.3629128418306
2097-Jan-04 18:00:00, 4947.5239345688597
2097-Jan-04 19:00:00, 5341.5036878799356
2097-Jan-04 20:00:00, 5027.7760027357763
2097-Jan-04 21:00:00, 5425.655443597384
2097-Jan-04 22:00:00, 5125.1793189797036
2097-Jan-04 23:00:00, 5500.3541603578315
2097-Jan-05 00:00:00, 5202.4063064173615
2097-Jan-05 01:00:00, 5547.763066451862
2097-Jan-05 02:00:00, 5229.0864482842808
2097-Jan-05 03:00:00, 5537.6451320175929
2097-Jan-05 04:00:00, 5205.8520671990836
2097-Jan-05 05:00:00, 5470.1112520514052
2097-Jan-05 06:00:00, 5115.2380936341351
2097-Jan-05 07:00:00, 5355.3360319643461
2097-Jan-05 08:00:00, 4995.1915796219619
2097-Jan-05 09:00:00, 5211.2213210999444
2097-Jan-05 10:00:00, 4858.6081611114778
2097-Jan-05 11:00:00, 5078.1387039388092
2097-Jan-05 12:00:00, 4742.7953668019863
2097-Jan-05 13:00:00, 4973.8441390903481
2097-Jan-05 14:00:00, 4678.1089314155197
2097-Jan-05 15:00:00, 4928.5040329207823
2097-Jan-05 16:00:00, 4663.9062437026978
2097-Jan-05 17:00:00, 4941.9457782503132
2097-Jan-05 18:00:00, 4717.6458859208296
2097-Jan-05 19:00:00, 5003.9408272970732
2097-Jan-05 20:00:00, 4801.3774914074347
2097-Jan-05 21:00:00, 5096.540141556834
2097-Jan-05 22:00:00, 4902.2047176621172
2097-Jan-05 23:00:00, 5179.3307861145377
2097-Jan-06 00:00:00, 4982.8214299444217
2097-Jan-06 01:00:00, 5234.5204804433861
2097-Jan-06 02:00:00, 5026.3826045446367
2097-Jan-06 03:00:00, 5245.0577238859623
2097-Jan-06 04:00:00, 4989.6078679247785
2097-Jan-06 05:00:00, 5182.1501194059747
2097-Jan-06 06:00:00, 4917.5431344719582
2097-Jan-06 07:00:00, 5059.1794647446204
2097-Jan-06 08:00:00, 4785.3676747616537
2097-Jan-06 09:00:00, 4924.531354022567
