Time Stamp, Total Heat Transfer Rate [W]
2097-Jan-01 00:00:00, 4543786.8209856823
2097-Jan-01 01:00:00, 71093.414232998563
2097-Jan-01 02:00:00, 14424.506432145832
2097-Jan-01 03:00:00, 41030.731279560176
2097-Jan-01 04:00:00, 12102.396675490307
2097-Jan-01 05:00:00, 32088.369691707205
2097-Jan-01 06:00:00, 11084.245324985675
2097-Jan-01 07:00:00, 25763.385202396654
2097-Jan-01 08:00:00, 10306.529137057216
2097-Jan-01 09:00:00, 21526.871709944837
2097-Jan-01 10:00:00, 9674.8371591169398
2097-Jan-01 11:00:00, 18568.805884688692
2097-Jan-01 12:00:00, 9156.6444228289693
2097-Jan-01 13:00:00, 16425.161549516608
2097-Jan-01 14:00:00, 8757.6187649802177
2097-Jan-01 15:00:00, 14850.853196917218
2097-Jan-01 16:00:00, 8461.2677813623468
2097-Jan-01 17:00:00, 13681.916717620761
2097-Jan-01 18:00:00, 8273.9290167018407
2097-Jan-01 19:00:00, 12806.030864609565
2097-Jan-01 20:00:00, 8149.4938741643209
2097-Jan-01 21:00:00, 12138.863564473357
2097-Jan-01 22:00:00, 8068.920941329292
2097-Jan-01 23:00:00, 11595.220279626217
2097-Jan-02 00:00:00, 7990.1850162287183
2097-Jan-02 01:00:00, 11139.632185779668
2097-Jan-02 02:00:00, 7892.3974994867831
2097-Jan-02 03:00:00, 10689.16106831039
2097-Jan-02 04:00:00, 7743.9927722181519
2097-Jan-02 05:00:00, 10246.522319739417
2097-Jan-02 06:00:00, 7542.9889707419015
2097-Jan-02 07:00:00, 9808.2728273887569
2097-Jan-02 08:00:00, 7324.3626877304105
2097-Jan-02 09:00:00, 9382.6527838715156
2097-Jan-02 10:00:00, 7099.1600516501385
2097-Jan-02 11:00:00, 8989.1879768046165
2097-Jan-02 12:00:00, 6903.650506513547
2097-Jan-02 13:00:00, 8669.9659318519316
2097-Jan-02 14:00:00, 6752.7952173257545
2097-Jan-02 15:00:00, 8432.7963489986796
2097-Jan-02 16:00:00, 6688.9500665504229
2097-Jan-02 17:00:00, 8273.7637821499557
2097-Jan-02 18:00:00, 6667.1006351932338
2097-Jan-02 19:00:00, 8181.449529669937
2097-Jan-02 20:00:00, 6711.4063877273857
2097-Jan-02 21:00:00, 8134.1406475032327
2097-Jan-02 22:00:00, 6759.4290052382494
2097-Jan-02 23:00:00, 8104.0359375857515
