Time Stamp, Total Heat Transfer Rate [W]
2097-Jan-01 00:00:00, 1461987.6024399367
2097-Jan-01 01:00:00, 822368.55517681013
2097-Jan-01 02:00:00, 622781.29345574812
2097-Jan-01 03:00:00, 521758.30645434518
2097-Jan-01 04:00:00, 458343.73729976546
2097-Jan-01 05:00:00, 413800.11112855253
2097-Jan-01 06:00:00, 380284.76129157207
2097-Jan-01 07:00:00, 353870.73428780673
2097-Jan-01 08:00:00, 332347.4651763087
2097-Jan-01 09:00:00, 314363.08657315106
2097-Jan-01 10:00:00, 299038.12896610692
2097-Jan-01 11:00:00, 285772.33229852916
2097-Jan-01 12:00:00, 274140.00554056407
2097-Jan-01 13:00:00, 263829.67033886589
2097-Jan-01 14:00:00, 254607.40948191503
2097-Jan-01 15:00:00, 246293.64618718158
2097-Jan-01 16:00:00, 238747.8993941097
2097-Jan-01 17:00:00, 231858.4753587039
2097-Jan-01 18:00:00, 225535.28712054552
2097-Jan-01 19:00:00, 219704.75022391448
2097-Jan-01 20:00:00, 214306.080357061
2097-Jan-01 21:00:00, 209288.5582682247
2097-Jan-01 22:00:00, 204609.46571009152
2097-Jan-01 23:00:00, 200232.52003251319
2097-Jan-02 00:00:00, 196126.67096481437
2097-Jan-02 01:00:00, 192265.16078140223
2097-Jan-02 02:00:00, 188624.76166672594
2097-Jan-02 03:00:00, 185185.19303104724
2097-Jan-02 04:00:00, 181928.65330669648
2097-Jan-02 05:00:00, 178839.43144717661
2097-Jan-02 06:00:00, 175903.60741004441
2097-Jan-02 07:00:00, 173108.80221598482
2097-Jan-02 08:00:00, 170443.96841280782
2097-Jan-02 09:00:00, 167899.21468977077
2097-Jan-02 10:00:00, 165465.66731424638
2097-Jan-02 11:00:00, 163135.33897736916
2097-Jan-02 12:00:00, 160901.05016490383
2097-Jan-02 13:00:00, 158756.31174017899
2097-Jan-02 14:00:00, 156695.26779910419
2097-Jan-02 15:00:00, 154712.62066852473
2097-Jan-02 16:00:00, 152803.57359845753
2097-Jan-02 17:00:00, 150963.7524683456
2097-Jan-02 18:00:00, 149189.17048107609
