Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2474.2117420362015
2096-Dec-31 01:00:00, 2474.7421754882239
2096-Dec-31 02:00:00, 2477.1669118561217
2096-Dec-31 03:00:00, 2479.036540713239
2096-Dec-31 04:00:00, 2480.3367945328487
2096-Dec-31 05:00:00, 2481.2531495861458
2096-Dec-31 06:00:00, 2481.9174087336055
2096-Dec-31 07:00:00, 2482.4151335877614
2096-Dec-31 08:00:00, 2482.8001276687396
2096-Dec-31 09:00:00, 2483.1066800040676
2096-Dec-31 10:00:00, 2483.3570515166889
2096-Dec-31 11:00:00, 2483.5660483548058
2096-Dec-31 12:00:00, 2483.7437671454641
2096-Dec-31 13:00:00, 2483.8972680480247
2096-Dec-31 14:00:00, 2484.0316090498663
2096-Dec-31 15:00:00, 2484.1504980661139
2096-Dec-31 16:00:00, 2484.2567123112308
2096-Dec-31 17:00:00, 2484.3523735856766
2096-Dec-31 18:00:00, 2484.4391326610262
2096-Dec-31 19:00:00, 2484.5182952346345
2096-Dec-31 20:00:00, 2484.5909096189048
2096-Dec-31 21:00:00, 2484.6578289084182
2096-Dec-31 22:00:00, 2484.7197558183861
2096-Dec-31 23:00:00, 2484.7772755574865
2097-Jan-01 00:00:00, 2484.8308802992101
2097-Jan-01 01:00:00, 2484.8809876634505
2097-Jan-01 02:00:00, 2484.9279548625996
2097-Jan-01 03:00:00, 2484.9720896648446
2097-Jan-01 04:00:00, 2485.0136589923109
2097-Jan-01 05:00:00, 2485.0528957345377
2097-Jan-01 06:00:00, 2485.0900042044145
2097-Jan-01 07:00:00, 2485.1251645471557
2097-Jan-01 08:00:00, 2485.1585363334516
2097-Jan-01 09:00:00, 2485.1902615124186
2097-Jan-01 10:00:00, 2485.22046685535
2097-Jan-01 11:00:00, 2485.2492659931095
2097-Jan-01 12:00:00, 2485.2767611242834
2097-Jan-01 13:00:00, 2485.30304445825
2097-Jan-01 14:00:00, 2485.3281994374661
2097-Jan-01 15:00:00, 2485.3523017814864
2097-Jan-01 16:00:00, 2485.3754203823019
2097-Jan-01 17:00:00, 2485.3976180741356
2097-Jan-01 18:00:00, 2485.4189522993875
2097-Jan-01 19:00:00, 2485.4394756872589
2097-Jan-01 20:00:00, 2485.4592365572003
2097-Jan-01 21:00:00, 2485.4782793604682
2097-Jan-01 22:00:00, 2485.496645066482
2097-Jan-01 23:00:00, 2485.514371503044
2097-Jan-02 00:00:00, 2485.5314936581499
2097-Jan-02 01:00:00, 2485.5480439442244
2097-Jan-02 02:00:00, 2485.5640524371493
2097-Jan-02 03:00:00, 2485.5795470842036
2097-Jan-02 04:00:00, 2485.5945538935371
2097-Jan-02 05:00:00, 2485.6090971014974
2097-Jan-02 06:00:00, 2485.6231993232241
2097-Jan-02 07:00:00, 2485.6368816885242
2097-Jan-02 08:00:00, 2485.6501639627595
2097-Jan-02 09:00:00, 2485.6630646574577
2097-Jan-02 10:00:00, 2485.6756011294578
2097-Jan-02 11:00:00, 2485.6877896711649
2097-Jan-02 12:00:00, 2485.6996455908616
2097-Jan-02 13:00:00, 2485.7111832886753
2097-Jan-02 14:00:00, 2485.7224163224319
2097-Jan-02 15:00:00, 2485.7333574701456
2097-Jan-02 16:00:00, 2485.7440187851671
2097-Jan-02 17:00:00, 2485.7544116486847
2097-Jan-02 18:00:00, 2485.764546815506
2097-Jan-02 19:00:00, 2485.7744344579378
2097-Jan-02 20:00:00, 2485.7840842045262
2097-Jan-02 21:00:00, 2485.7935051769268
2097-Jan-02 22:00:00, 2485.8027060233858
2097-Jan-02 23:00:00, 2485.8116949490386
2097-Jan-03 00:00:00, 2485.8204797445201
2097-Jan-03 01:00:00, 2485.8290678124868
2097-Jan-03 02:00:00, 2485.8374661911757
2097-Jan-03 03:00:00, 2485.8456815773684
2097-Jan-03 04:00:00, 2485.8537203473393
2097-Jan-03 05:00:00, 2485.861588575206
2097-Jan-03 06:00:00, 2485.8692920517105
2097-Jan-03 07:00:00, 2485.8768363006184
2097-Jan-03 08:00:00, 2485.8842265939375
2097-Jan-03 09:00:00, 2485.8914679661993
2097-Jan-03 10:00:00, 2485.8985652282659
2097-Jan-03 11:00:00, 2485.9055229798191
2097-Jan-03 12:00:00, 2485.9123456205043
2097-Jan-03 13:00:00, 2485.9190373614092
2097-Jan-03 14:00:00, 2485.9256022344957
2097-Jan-03 15:00:00, 2485.9320441034865
2097-Jan-03 16:00:00, 2485.9383666708113
2097-Jan-03 17:00:00, 2485.9445734879446
2097-Jan-03 18:00:00, 2485.9506679617202
2097-Jan-03 19:00:00, 2485.9566533626398
2097-Jan-03 20:00:00, 2485.9625328311017
2097-Jan-03 21:00:00, 2485.9683093843901
2097-Jan-03 22:00:00, 2485.9739859225797
2097-Jan-03 23:00:00, 2485.9795652340754
2097-Jan-04 00:00:00, 2485.9850500014018
2097-Jan-04 01:00:00, 2485.9904428057844
2097-Jan-04 02:00:00, 2485.9957461326021
2097-Jan-04 03:00:00, 2486.0009623748456
2097-Jan-04 04:00:00, 2486.0060938388906
2097-Jan-04 05:00:00, 2486.0111427469669
2097-Jan-04 06:00:00, 2486.0161112422466
2097-Jan-04 07:00:00, 2486.0210013914907
2097-Jan-04 08:00:00, 2486.0258151888802
2097-Jan-04 09:00:00, 2486.030554559436
2097-Jan-04 10:00:00, 2486.0352213615688
2097-Jan-04 11:00:00, 2486.0398173899621
2097-Jan-04 12:00:00, 2486.0443443793183
2097-Jan-04 13:00:00, 2486.0488040053856
2097-Jan-04 14:00:00, 2486.0531978886879
2097-Jan-04 15:00:00, 2486.0575275960209
2097-Jan-04 16:00:00, 2486.0617946435636
2097-Jan-04 17:00:00, 2486.0660004980009
2097-Jan-04 18:00:00, 2486.0701465791794
2097-Jan-04 19:00:00, 2486.0742342618428
2097-Jan-04 20:00:00, 2486.078264877222
2097-Jan-04 21:00:00, 2486.0822397151014
2097-Jan-04 22:00:00, 2486.0861600254016
2097-Jan-04 23:00:00, 2486.090027019462
2097-Jan-05 00:00:00, 2486.0938418718351
2097-Jan-05 01:00:00, 2486.0976057215385
2097-Jan-05 02:00:00, 2486.1013196733193
2097-Jan-05 03:00:00, 2486.1049847995632
2097-Jan-05 04:00:00, 2486.1086021406604
2097-Jan-05 05:00:00, 2486.112172706532
2097-Jan-05 06:00:00, 2486.1156974780333
2097-Jan-05 07:00:00, 2486.1191774078789
2097-Jan-05 08:00:00, 2486.1226134212538
2097-Jan-05 09:00:00, 2486.1260064174253
2097-Jan-05 10:00:00, 2486.129357269881
2097-Jan-05 11:00:00, 2486.1326668287384
2097-Jan-05 12:00:00, 2486.1359359193029
2097-Jan-05 13:00:00, 2486.1391653452774
2097-Jan-05 14:00:00, 2486.1423558879055
2097-Jan-05 15:00:00, 2486.1455083076071
2097-Jan-05 16:00:00, 2486.1486233437613
2097-Jan-05 17:00:00, 2486.1517017171491
2097-Jan-05 18:00:00, 2486.1547441281095
2097-Jan-05 19:00:00, 2486.1577512594945
2097-Jan-05 20:00:00, 2486.1607237762387
2097-Jan-05 21:00:00, 2486.1636623258014
2097-Jan-05 22:00:00, 2486.1665675390764
2097-Jan-05 23:00:00, 2486.169440030973
2097-Jan-06 00:00:00, 2486.1722804004244
2097-Jan-06 01:00:00, 2486.1750892319033
2097-Jan-06 02:00:00, 2486.1778670947147
2097-Jan-06 03:00:00, 2486.1806145442788
2097-Jan-06 04:00:00, 2486.1833321222362
2097-Jan-06 05:00:00, 2486.1860203571659
2097-Jan-06 06:00:00, 2486.1886797643051
2097-Jan-06 07:00:00, 2486.1913108468757
2097-Jan-06 08:00:00, 2486.193914095727
2097-Jan-06 09:00:00, 2486.1964899903151
2097-Jan-06 10:00:00, 2486.1990389985613
2097-Jan-06 11:00:00, 2486.2015615772366
2097-Jan-06 12:00:00, 2486.2040581726719
2097-Jan-06 13:00:00, 2486.2065292205098
2097-Jan-06 14:00:00, 2486.2089751468434
2097-Jan-06 15:00:00, 2486.2113963673542
2097-Jan-06 16:00:00, 2486.2137932885894
2097-Jan-06 17:00:00, 2486.2161663080028
2097-Jan-06 18:00:00, 2486.2185158139046
2097-Jan-06 19:00:00, 2486.2208421857908
2097-Jan-06 20:00:00, 2486.2231457950793
2097-Jan-06 21:00:00, 2486.2254270045837
2097-Jan-06 22:00:00, 2486.2276861694691
2097-Jan-06 23:00:00, 2486.2299236370814
2097-Jan-07 00:00:00, 2486.2321397469364
2097-Jan-07 01:00:00, 2486.2343348315262
2097-Jan-07 02:00:00, 2486.2365092163077
2097-Jan-07 03:00:00, 2486.238663219598
2097-Jan-07 04:00:00, 2486.2407971525745
2097-Jan-07 05:00:00, 2486.242911320689
2097-Jan-07 06:00:00, 2486.2450060223837
2097-Jan-07 07:00:00, 2486.2470815501415
2097-Jan-07 08:00:00, 2486.2491381902564
2097-Jan-07 09:00:00, 2486.2511762232866
2097-Jan-07 10:00:00, 2486.2531959237158
2097-Jan-07 11:00:00, 2486.2551975608962
2097-Jan-07 12:00:00, 2486.2571813983986
2097-Jan-07 13:00:00, 2486.2591476945422
2097-Jan-07 14:00:00, 2486.2610967025885
2097-Jan-07 15:00:00, 2486.2630286707185
2097-Jan-07 16:00:00, 2486.2649438421508
2097-Jan-07 17:00:00, 2486.2668424551553
2097-Jan-07 18:00:00, 2486.2687247437757
2097-Jan-07 19:00:00, 2486.2705909370279
2097-Jan-07 20:00:00, 2486.272441259754
2097-Jan-07 21:00:00, 2486.2742759323692
2097-Jan-07 22:00:00, 2486.2760951708433
2097-Jan-07 23:00:00, 2486.2778991877958
2097-Jan-08 00:00:00, 2486.2796881910367
2097-Jan-08 01:00:00, 2486.281462384627
2097-Jan-08 02:00:00, 2486.2832219689267
2097-Jan-08 03:00:00, 2486.2849671405638
2097-Jan-08 04:00:00, 2486.2866980923482
2097-Jan-08 05:00:00, 2486.2884150137334
2097-Jan-08 06:00:00, 2486.2901180905587
2097-Jan-08 07:00:00, 2486.2918075053635
2097-Jan-08 08:00:00, 2486.2934834371176
2097-Jan-08 09:00:00, 2486.2951460617978
2097-Jan-08 10:00:00, 2486.296795552089
2097-Jan-08 11:00:00, 2486.2984320780452
2097-Jan-08 12:00:00, 2486.3000558054982
2097-Jan-08 13:00:00, 2486.3016668986261
2097-Jan-08 14:00:00, 2486.3032655184302
2097-Jan-08 15:00:00, 2486.3048518221567
2097-Jan-08 16:00:00, 2486.3064259656198
2097-Jan-08 17:00:00, 2486.3079881006965
2097-Jan-08 18:00:00, 2486.3095383777413
2097-Jan-08 19:00:00, 2486.3110769437581
2097-Jan-08 20:00:00, 2486.3126039434301
2097-Jan-08 21:00:00, 2486.3141195191697
2097-Jan-08 22:00:00, 2486.3156238105871
2097-Jan-08 23:00:00, 2486.3171169553225
2097-Jan-09 00:00:00, 2486.3185990882189
2097-Jan-09 01:00:00, 2486.3200703426155
2097-Jan-09 02:00:00, 2486.3215308490203
2097-Jan-09 03:00:00, 2486.322980735697
2097-Jan-09 04:00:00, 2486.3244201291877
2097-Jan-09 05:00:00, 2486.3258491538304
2097-Jan-09 06:00:00, 2486.3272679317415
2097-Jan-09 07:00:00, 2486.3286765832545
2097-Jan-09 08:00:00, 2486.3300752269056
2097-Jan-09 09:00:00, 2486.3314639787332
2097-Jan-09 10:00:00, 2486.3328429534822
2097-Jan-09 11:00:00, 2486.3342122637864
2097-Jan-09 12:00:00, 2486.3355720203704
2097-Jan-09 13:00:00, 2486.3369223324739
2097-Jan-09 14:00:00, 2486.3382633078932
2097-Jan-09 15:00:00, 2486.3395950519625
2097-Jan-09 16:00:00, 2486.3409176686937
2097-Jan-09 17:00:00, 2486.3422312606026
2097-Jan-09 18:00:00, 2486.3435359287137
2097-Jan-09 19:00:00, 2486.3448317721795
2097-Jan-09 20:00:00, 2486.3461188886004
2097-Jan-09 21:00:00, 2486.3473973746345
2097-Jan-09 22:00:00, 2486.3486673247348
2097-Jan-09 23:00:00, 2486.3499288325256
2097-Jan-10 00:00:00, 2486.3511819896257
2097-Jan-10 01:00:00, 2486.3524268865858
2097-Jan-10 02:00:00, 2486.3536636130716
2097-Jan-10 03:00:00, 2486.3548922564974
2097-Jan-10 04:00:00, 2486.3561129035629
2097-Jan-10 05:00:00, 2486.357325639598
2097-Jan-10 06:00:00, 2486.3585305485044
2097-Jan-10 07:00:00, 2486.359727713183
2097-Jan-10 08:00:00, 2486.3609172150209
2097-Jan-10 09:00:00, 2486.3620991345274
2097-Jan-10 10:00:00, 2486.3632735509746
2097-Jan-10 11:00:00, 2486.3644405420509
2097-Jan-10 12:00:00, 2486.3656001851868
2097-Jan-10 13:00:00, 2486.366752555859
2097-Jan-10 14:00:00, 2486.3678977290015
2097-Jan-10 15:00:00, 2486.3690357782421
2097-Jan-10 16:00:00, 2486.3701667761779
