Time Stamp, Total Heat Transfer Rate [W]
2097-Jan-01 00:00:00, 107244.00662653643
2097-Jan-01 01:00:00, 54981.32807397945
2097-Jan-01 02:00:00, 41509.443655097224
2097-Jan-01 03:00:00, 34775.139406085247
2097-Jan-01 04:00:00, 30568.729896051682
2097-Jan-01 05:00:00, 27624.983941432722
2097-Jan-01 06:00:00, 25428.086209675559
2097-Jan-01 07:00:00, 23691.364890156732
2097-Jan-01 08:00:00, 22286.4437752882
2097-Jan-01 09:00:00, 21114.721249035341
2097-Jan-01 10:00:00, 20118.637984647579
2097-Jan-01 11:00:00, 19258.252555630279
2097-Jan-01 12:00:00, 18505.24637959796
2097-Jan-01 13:00:00, 17838.709923791641
2097-Jan-01 14:00:00, 17242.364281467209
2097-Jan-01 15:00:00, 16707.671072657999
2097-Jan-01 16:00:00, 16219.114889080563
2097-Jan-01 17:00:00, 15778.349982379656
2097-Jan-01 18:00:00, 15375.667599284467
2097-Jan-01 19:00:00, 15000.687736366193
2097-Jan-01 20:00:00, 14656.291741412368
2097-Jan-01 21:00:00, 14338.357539626999
2097-Jan-01 22:00:00, 14042.120797820648
2097-Jan-01 23:00:00, 13766.524151944421
2097-Jan-02 00:00:00, 13509.370648986847
2097-Jan-02 01:00:00, 13268.51918021137
2097-Jan-02 02:00:00, 13042.573978306331
2097-Jan-02 03:00:00, 12830.006825820006
2097-Jan-02 04:00:00, 12628.391013398828
2097-Jan-02 05:00:00, 12441.877851208452
2097-Jan-02 06:00:00, 12259.180328341772
2097-Jan-02 07:00:00, 12086.587032072537
2097-Jan-02 08:00:00, 11923.120241731847
2097-Jan-02 09:00:00, 11766.774588164017
2097-Jan-02 10:00:00, 11616.506105852015
2097-Jan-02 11:00:00, 11471.859804782673
2097-Jan-02 12:00:00, 11332.640888190519
2097-Jan-02 13:00:00, 11198.267731491831
2097-Jan-02 14:00:00, 11068.493783321439
2097-Jan-02 15:00:00, 10943.624158453722
2097-Jan-02 16:00:00, 10823.206270398445
2097-Jan-02 17:00:00, 10707.811466055991
2097-Jan-02 18:00:00, 10596.254540296895
2097-Jan-02 19:00:00, 10487.405261848422
2097-Jan-02 20:00:00, 10384.080625580174
2097-Jan-02 21:00:00, 10285.140505619143
2097-Jan-02 22:00:00, 10190.033564806337
2097-Jan-02 23:00:00, 10098.81070217502
2097-Jan-03 00:00:00, 10011.246824678799
2097-Jan-03 01:00:00, 9927.2338561024317
2097-Jan-03 02:00:00, 9846.2900136062472
2097-Jan-03 03:00:00, 9768.453738013337
2097-Jan-03 04:00:00, 9693.3453147947675
2097-Jan-03 05:00:00, 9620.848002603796
2097-Jan-03 06:00:00, 9549.9207963143981
2097-Jan-03 07:00:00, 9479.7186856860208
2097-Jan-03 08:00:00, 9411.9554361664341
2097-Jan-03 09:00:00, 9345.5325795344961
2097-Jan-03 10:00:00, 9280.0814950646563
2097-Jan-03 11:00:00, 9215.5251589898944
2097-Jan-03 12:00:00, 9151.8205397742495
2097-Jan-03 13:00:00, 9089.029341891408
2097-Jan-03 14:00:00, 9026.9906886718054
2097-Jan-03 15:00:00, 8966.157621108905
2097-Jan-03 16:00:00, 8906.5017998768035
2097-Jan-03 17:00:00, 8849.0187259168415
2097-Jan-03 18:00:00, 8791.5621199935667
2097-Jan-03 19:00:00, 8736.0387918510369
2097-Jan-03 20:00:00, 8682.4339442413111
2097-Jan-03 21:00:00, 8630.8179974926334
2097-Jan-03 22:00:00, 8581.0115835445886
2097-Jan-03 23:00:00, 8533.0658245981176
2097-Jan-04 00:00:00, 8486.9023538372894
2097-Jan-04 01:00:00, 8442.4360114912579
2097-Jan-04 02:00:00, 8399.4412369862821
2097-Jan-04 03:00:00, 8357.9079516262227
2097-Jan-04 04:00:00, 8317.5632476531937
2097-Jan-04 05:00:00, 8277.8717132699949
2097-Jan-04 06:00:00, 8239.3520672176983
2097-Jan-04 07:00:00, 8200.4780471142385
2097-Jan-04 08:00:00, 8162.4174880267028
2097-Jan-04 09:00:00, 8124.5185750235496
2097-Jan-04 10:00:00, 8086.5631728390144
2097-Jan-04 11:00:00, 8048.5085052885106
2097-Jan-04 12:00:00, 8010.3584719441487
2097-Jan-04 13:00:00, 7972.1994844988631
2097-Jan-04 14:00:00, 7934.0846217662684
2097-Jan-04 15:00:00, 7896.3058865118055
2097-Jan-04 16:00:00, 7858.4666018824018
2097-Jan-04 17:00:00, 7821.7965097601782
2097-Jan-04 18:00:00, 7786.0386886878696
2097-Jan-04 19:00:00, 7750.5878064024673
2097-Jan-04 20:00:00, 7716.5107248853064
2097-Jan-04 21:00:00, 7683.6800215717503
2097-Jan-04 22:00:00, 7652.0674318185174
2097-Jan-04 23:00:00, 7621.7407996934689
2097-Jan-05 00:00:00, 7592.6579704901997
2097-Jan-05 01:00:00, 7564.745157539428
2097-Jan-05 02:00:00, 7537.8245794435379
2097-Jan-05 03:00:00, 7511.8507406285307
2097-Jan-05 04:00:00, 7486.4587361994118
2097-Jan-05 05:00:00, 7461.3730143514395
2097-Jan-05 06:00:00, 7437.1502029584008
2097-Jan-05 07:00:00, 7412.3253206089494
2097-Jan-05 08:00:00, 7387.7377014809672
2097-Jan-05 09:00:00, 7362.9121528545775
2097-Jan-05 10:00:00, 7337.6871659104627
2097-Jan-05 11:00:00, 7312.0242482507883
2097-Jan-05 12:00:00, 7285.9400468707199
2097-Jan-05 13:00:00, 7259.5296432814894
2097-Jan-05 14:00:00, 7232.8727337799055
2097-Jan-05 15:00:00, 7206.2190604134648
2097-Jan-05 16:00:00, 7179.3781751299475
2097-Jan-05 17:00:00, 7153.2041997187243
2097-Jan-05 18:00:00, 7127.6641150863779
2097-Jan-05 19:00:00, 7102.3657741811112
2097-Jan-05 20:00:00, 7078.0800031205963
2097-Jan-05 21:00:00, 7054.7875028788712
2097-Jan-05 22:00:00, 7032.4973874304678
2097-Jan-05 23:00:00, 7011.2762478080231
2097-Jan-06 00:00:00, 6991.0902927059851
2097-Jan-06 01:00:00, 6971.8782122380862
2097-Jan-06 02:00:00, 6953.5183664514398
2097-Jan-06 03:00:00, 6935.8492865786357
2097-Jan-06 04:00:00, 6918.6707175169986
2097-Jan-06 05:00:00, 6902.2738154577746
2097-Jan-06 06:00:00, 6885.0018903358159
2097-Jan-06 07:00:00, 6868.0426632219378
2097-Jan-06 08:00:00, 6850.8608375082331
2097-Jan-06 09:00:00, 6833.2597221123242
2097-Jan-06 10:00:00, 6815.0968705356936
2097-Jan-06 11:00:00, 6796.3397899241163
2097-Jan-06 12:00:00, 6777.0134446993616
2097-Jan-06 13:00:00, 6757.2168920325066
2097-Jan-06 14:00:00, 6737.043954254902
2097-Jan-06 15:00:00, 6716.7199873445579
2097-Jan-06 16:00:00, 6696.3625304305579
2097-Jan-06 17:00:00, 6676.1169325123365
2097-Jan-06 18:00:00, 6656.4316528277532
2097-Jan-06 19:00:00, 6637.0103739740807
2097-Jan-06 20:00:00, 6618.4293232950777
2097-Jan-06 21:00:00, 6600.725108752873
2097-Jan-06 22:00:00, 6583.9247443711665
2097-Jan-06 23:00:00, 6568.0915967880064
2097-Jan-07 00:00:00, 6553.2072357698989
2097-Jan-07 01:00:00, 6539.2203259736734
2097-Jan-07 02:00:00, 6525.9899451537858
2097-Jan-07 03:00:00, 6513.3387649657971
2097-Jan-07 04:00:00, 6501.0732882228504
2097-Jan-07 05:00:00, 6489.3711969330916
2097-Jan-07 06:00:00, 6477.3099239470566
