Time Stamp, Total Heat Transfer Rate [W]
2097-Jan-01 00:00:00, 3314.2312010523046
2097-Jan-01 01:00:00, 3314.7178690024994
2097-Jan-01 02:00:00, 3315.5733505112166
2097-Jan-01 03:00:00, 3316.7281433469811
2097-Jan-01 04:00:00, 3318.0818756780991
2097-Jan-01 05:00:00, 3319.5166940809381
2097-Jan-01 06:00:00, 3320.8383955423019
2097-Jan-01 07:00:00, 3321.8956741645138
2097-Jan-01 08:00:00, 3322.4707779578589
2097-Jan-01 09:00:00, 3322.4455090135534
2097-Jan-01 10:00:00, 3321.7253770719808
2097-Jan-01 11:00:00, 3320.3020787000701
2097-Jan-01 12:00:00, 3318.1738198446565
2097-Jan-01 13:00:00, 3315.4280978737311
2097-Jan-01 14:00:00, 3312.1742749242612
2097-Jan-01 15:00:00, 3308.5752353560215
2097-Jan-01 16:00:00, 3304.7953567901118
2097-Jan-01 17:00:00, 3300.9463967270658
2097-Jan-01 18:00:00, 3297.4476824934172
2097-Jan-01 19:00:00, 3294.3938517462243
2097-Jan-01 20:00:00, 3291.7943708907947
2097-Jan-01 21:00:00, 3289.890900529871
2097-Jan-01 22:00:00, 3288.7627788551135
2097-Jan-01 23:00:00, 3288.4613527557167
2097-Jan-02 00:00:00, 3288.9636210636568
2097-Jan-02 01:00:00, 3290.2372620320716
2097-Jan-02 02:00:00, 3292.1285314910019
2097-Jan-02 03:00:00, 3294.4764179568178
2097-Jan-02 04:00:00, 3297.0581449715482
2097-Jan-02 05:00:00, 3299.7784008223316
2097-Jan-02 06:00:00, 3302.2568663002071
2097-Jan-02 07:00:00, 3304.3881343604439
2097-Jan-02 08:00:00, 3306.078975360022
2097-Jan-02 09:00:00, 3307.115687969168
2097-Jan-02 10:00:00, 3307.408880255462
2097-Jan-02 11:00:00, 3306.8598486480855
2097-Jan-02 12:00:00, 3305.5775685384642
2097-Jan-02 13:00:00, 3303.5645645086897
2097-Jan-02 14:00:00, 3300.9669555480623
2097-Jan-02 15:00:00, 3298.0082213586347
2097-Jan-02 16:00:00, 3294.8371968634451
2097-Jan-02 17:00:00, 3291.5361869101521
2097-Jan-02 18:00:00, 3288.4980157921323
2097-Jan-02 19:00:00, 3285.8508525087673
2097-Jan-02 20:00:00, 3283.6802096236365
2097-Jan-02 21:00:00, 3282.1856428829974
2097-Jan-02 22:00:00, 3281.4777046860663
2097-Jan-02 23:00:00, 3281.5991489721796
