Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 3339.3028760266275
2096-Dec-31 01:00:00, 3339.3293520154957
2096-Dec-31 02:00:00, 3339.4244037776266
2096-Dec-31 03:00:00, 3339.6192888642363
2096-Dec-31 04:00:00, 3339.9098006305094
2096-Dec-31 05:00:00, 3340.2539812130453
2096-Dec-31 06:00:00, 3340.583174056705
2096-Dec-31 07:00:00, 3340.8129076093619
2096-Dec-31 08:00:00, 3340.8508787208302
2096-Dec-31 09:00:00, 3340.6118070029465
2096-Dec-31 10:00:00, 3340.0253044818633
2096-Dec-31 11:00:00, 3339.0421773012358
2096-Dec-31 12:00:00, 3337.6411438453219
2096-Dec-31 13:00:00, 3335.8317835231355
2096-Dec-31 14:00:00, 3333.653235495437
2096-Dec-31 15:00:00, 3331.1689878742891
2096-Dec-31 16:00:00, 3328.46815936949
2096-Dec-31 17:00:00, 3325.6591944745733
2096-Dec-31 18:00:00, 3322.8586712009323
2096-Dec-31 19:00:00, 3320.1838511601181
2096-Dec-31 20:00:00, 3317.7479561627401
2096-Dec-31 21:00:00, 3315.6505203455699
2096-Dec-31 22:00:00, 3313.9684520039145
2096-Dec-31 23:00:00, 3312.7551534022527
2097-Jan-01 00:00:00, 3312.0330844704595
2097-Jan-01 01:00:00, 3311.8014094246637
2097-Jan-01 02:00:00, 3312.0268471909508
2097-Jan-01 03:00:00, 3312.6371803961993
2097-Jan-01 04:00:00, 3313.5387415059663
2097-Jan-01 05:00:00, 3314.6223736384641
2097-Jan-01 06:00:00, 3315.7596254695482
2097-Jan-01 07:00:00, 3316.8208212842719
2097-Jan-01 08:00:00, 3317.6850335525519
2097-Jan-01 09:00:00, 3318.2501286006163
2097-Jan-01 10:00:00, 3318.4386211638644
2097-Jan-01 11:00:00, 3318.1976161319549
2097-Jan-01 12:00:00, 3317.5042268203979
2097-Jan-01 13:00:00, 3316.3681770314042
2097-Jan-01 14:00:00, 3314.8297805641937
2097-Jan-01 15:00:00, 3312.9535156743277
2097-Jan-01 16:00:00, 3310.8297452193337
2097-Jan-01 17:00:00, 3308.5682951808521
2097-Jan-01 18:00:00, 3306.2876502324266
2097-Jan-01 19:00:00, 3304.1064082977605
2097-Jan-01 20:00:00, 3302.1392090991139
2097-Jan-01 21:00:00, 3300.4872658507293
2097-Jan-01 22:00:00, 3299.2289274299264
2097-Jan-01 23:00:00, 3298.4184129962127
2097-Jan-02 00:00:00, 3298.089360274133
2097-Jan-02 01:00:00, 3298.2404464850079
2097-Jan-02 02:00:00, 3298.8336212355589
2097-Jan-02 03:00:00, 3299.801922703818
2097-Jan-02 04:00:00, 3301.0502543443804
2097-Jan-02 05:00:00, 3302.4643500013754
2097-Jan-02 06:00:00, 3303.9217632650307
2097-Jan-02 07:00:00, 3305.3006558373536
2097-Jan-02 08:00:00, 3306.4838438128932
2097-Jan-02 09:00:00, 3307.36889189357
2097-Jan-02 10:00:00, 3307.8668470159732
2097-Jan-02 11:00:00, 3307.92307694588
2097-Jan-02 12:00:00, 3307.5094466421074
2097-Jan-02 13:00:00, 3306.6312580410304
2097-Jan-02 14:00:00, 3305.3273934570143
2097-Jan-02 15:00:00, 3303.6731769695252
2097-Jan-02 16:00:00, 3301.7617543023989
2097-Jan-02 17:00:00, 3299.7000078763626
2097-Jan-02 18:00:00, 3297.6047840678089
2097-Jan-02 19:00:00, 3295.6038711121428
2097-Jan-02 20:00:00, 3293.8130324408958
2097-Jan-02 21:00:00, 3292.3384322008937
2097-Jan-02 22:00:00, 3291.2631719296614
2097-Jan-02 23:00:00, 3290.6437869644337
2097-Jan-03 00:00:00, 3290.5032602016931
2097-Jan-03 01:00:00, 3290.8295088539871
2097-Jan-03 02:00:00, 3291.579900703
2097-Jan-03 03:00:00, 3292.6877974202907
2097-Jan-03 04:00:00, 3294.0609520387429
2097-Jan-03 05:00:00, 3295.5878418782927
2097-Jan-03 06:00:00, 3297.1491634436188
2097-Jan-03 07:00:00, 3298.6252359205982
2097-Jan-03 08:00:00, 3299.9002804607635
2097-Jan-03 09:00:00, 3300.8730550862729
2097-Jan-03 10:00:00, 3301.4642093158291
2097-Jan-03 11:00:00, 3301.6189151361104
2097-Jan-03 12:00:00, 3301.3124442957055
2097-Jan-03 13:00:00, 3300.5447700321083
2097-Jan-03 14:00:00, 3299.3473459922075
2097-Jan-03 15:00:00, 3297.7910357850751
2097-Jan-03 16:00:00, 3295.9681448508331
2097-Jan-03 17:00:00, 3293.9866646947694
2097-Jan-03 18:00:00, 3291.9738835150442
2097-Jan-03 19:00:00, 3290.0584776124488
2097-Jan-03 20:00:00, 3288.3603349190776
2097-Jan-03 21:00:00, 3286.9807067784745
2097-Jan-03 22:00:00, 3285.9961388745696
2097-Jan-03 23:00:00, 3285.4588892493225
2097-Jan-04 00:00:00, 3285.3909629321611
2097-Jan-04 01:00:00, 3285.7818960775944
2097-Jan-04 02:00:00, 3286.5906154894778
2097-Jan-04 03:00:00, 3287.752189806743
2097-Jan-04 04:00:00, 3289.1754556055662
2097-Jan-04 05:00:00, 3290.7501895968508
2097-Jan-04 06:00:00, 3292.3573128827861
2097-Jan-04 07:00:00, 3293.877765555656
2097-Jan-04 08:00:00, 3295.196085383111
2097-Jan-04 09:00:00, 3296.2112561824483
2097-Jan-04 10:00:00, 3296.8440907099962
2097-Jan-04 11:00:00, 3297.0398399359442
2097-Jan-04 12:00:00, 3296.7737915960643
2097-Jan-04 13:00:00, 3296.0548180734972
2097-Jan-04 14:00:00, 3294.922520935871
2097-Jan-04 15:00:00, 3293.4410718188324
2097-Jan-04 16:00:00, 3291.7007855869938
2097-Jan-04 17:00:00, 3289.811603107843
2097-Jan-04 18:00:00, 3287.8923189881448
2097-Jan-04 19:00:00, 3286.0617817588677
2097-Jan-04 20:00:00, 3284.4352684047926
2097-Jan-04 21:00:00, 3283.1137859599489
2097-Jan-04 22:00:00, 3282.1764251874897
2097-Jan-04 23:00:00, 3281.6780601272303
2097-Jan-05 00:00:00, 3281.6431056880974
2097-Jan-05 01:00:00, 3282.0628830772766
2097-Jan-05 02:00:00, 3282.8977066449293
2097-Jan-05 03:00:00, 3284.0835131347158
2097-Jan-05 04:00:00, 3285.5298996092442
2097-Jan-05 05:00:00, 3287.1267737357057
2097-Jan-05 06:00:00, 3288.7557682448528
2097-Jan-05 07:00:00, 3290.2977831413064
2097-Jan-05 08:00:00, 3291.6374937151086
2097-Jan-05 09:00:00, 3292.6739790712095
2097-Jan-05 10:00:00, 3293.3280961724163
2097-Jan-05 11:00:00, 3293.5451094923833
2097-Jan-05 12:00:00, 3293.3003298832018
2097-Jan-05 13:00:00, 3292.6026333471041
2097-Jan-05 14:00:00, 3291.4915824313498
2097-Jan-05 15:00:00, 3290.0313541643122
2097-Jan-05 16:00:00, 3288.3122844773434
2097-Jan-05 17:00:00, 3286.4442687227775
2097-Jan-05 18:00:00, 3284.5460752338622
2097-Jan-05 19:00:00, 3282.7365856932083
2097-Jan-05 20:00:00, 3281.1310080079611
2097-Jan-05 21:00:00, 3279.8303712872557
2097-Jan-05 22:00:00, 3278.9137870099657
2097-Jan-05 23:00:00, 3278.436085864239
2097-Jan-06 00:00:00, 3278.4216622340036
2097-Jan-06 01:00:00, 3278.8706412442857
2097-Jan-06 02:00:00, 3279.7515950510478
2097-Jan-06 03:00:00, 3280.9935071122554
2097-Jan-06 04:00:00, 3282.5040965461853
2097-Jan-06 05:00:00, 3284.1752428640061
2097-Jan-06 06:00:00, 3285.8799440707971
2097-Jan-06 07:00:00, 3287.4893394469545
2097-Jan-06 08:00:00, 3288.883541402322
2097-Jan-06 09:00:00, 3289.9613711247725
2097-Jan-06 10:00:00, 3290.6460825462586
2097-Jan-06 11:00:00, 3290.8856939321054
2097-Jan-06 12:00:00, 3290.6581596630081
2097-Jan-06 13:00:00, 3289.973514410904
2097-Jan-06 14:00:00, 3288.8730530193775
2097-Jan-06 15:00:00, 3287.4219152141745
2097-Jan-06 16:00:00, 3285.7110501902935
2097-Jan-06 17:00:00, 3283.8507229940037
2097-Jan-06 18:00:00, 3281.9600372116015
2097-Jan-06 19:00:00, 3280.1580195292972
2097-Jan-06 20:00:00, 3278.5600441315705
2097-Jan-06 21:00:00, 3277.2671848118543
2097-Jan-06 22:00:00, 3276.3585558125742
2097-Jan-06 23:00:00, 3275.8890433352403
2097-Jan-07 00:00:00, 3275.8920254926015
2097-Jan-07 01:00:00, 3276.366536570863
2097-Jan-07 02:00:00, 3277.2753213799592
2097-Jan-07 03:00:00, 3278.5428009914031
2097-Jan-07 04:00:00, 3280.0748546351151
2097-Jan-07 05:00:00, 3281.7633987614872
2097-Jan-07 06:00:00, 3283.491089587561
2097-Jan-07 07:00:00, 3285.1292056709813
2097-Jan-07 08:00:00, 3286.5614396127353
2097-Jan-07 09:00:00, 3287.6816043782746
2097-Jan-07 10:00:00, 3288.4060683856851
2097-Jan-07 11:00:00, 3288.6782052026583
2097-Jan-07 12:00:00, 3288.4748089100181
2097-Jan-07 13:00:00, 3287.8078491954075
2097-Jan-07 14:00:00, 3286.7199298240371
2097-Jan-07 15:00:00, 3285.2776400244502
2097-Jan-07 16:00:00, 3283.5732440565826
2097-Jan-07 17:00:00, 3281.7178240600679
2097-Jan-07 18:00:00, 3279.8311034945586
2097-Jan-07 19:00:00, 3278.0325663140306
2097-Jan-07 20:00:00, 3276.437877177731
2097-Jan-07 21:00:00, 3275.1483017155169
2097-Jan-07 22:00:00, 3274.2518886130415
2097-Jan-07 23:00:00, 3273.8027075790033
2097-Jan-08 00:00:00, 3273.8283696612912
2097-Jan-08 01:00:00, 3274.3236274503665
2097-Jan-08 02:00:00, 3275.2488819952664
2097-Jan-08 03:00:00, 3276.5376143460689
2097-Jan-08 04:00:00, 3278.0960096734939
2097-Jan-08 05:00:00, 3279.8106605684666
2097-Jan-08 06:00:00, 3281.5601587305546
2097-Jan-08 07:00:00, 3283.2236509836944
2097-Jan-08 08:00:00, 3284.684565321214
2097-Jan-08 09:00:00, 3285.8408851936401
2097-Jan-08 10:00:00, 3286.6041074645982
2097-Jan-08 11:00:00, 3286.9199502975507
2097-Jan-08 12:00:00, 3286.7606545592198
2097-Jan-08 13:00:00, 3286.1313799264863
2097-Jan-08 14:00:00, 3285.071511986283
2097-Jan-08 15:00:00, 3283.6565257203397
2097-Jan-08 16:00:00, 3281.9797240266457
2097-Jan-08 17:00:00, 3280.1481496877559
2097-Jan-08 18:00:00, 3278.2787199787481
2097-Jan-08 19:00:00, 3276.4994473659681
2097-Jan-08 20:00:00, 3274.9263325049019
2097-Jan-08 21:00:00, 3273.665283923267
2097-Jan-08 22:00:00, 3272.7997404736848
2097-Jan-08 23:00:00, 3272.3864720741581
2097-Jan-09 00:00:00, 3272.4484029063392
2097-Jan-09 01:00:00, 3272.9735882524819
2097-Jan-09 02:00:00, 3273.9195602009681
2097-Jan-09 03:00:00, 3275.219610475222
2097-Jan-09 04:00:00, 3276.7816691280723
2097-Jan-09 05:00:00, 3278.4944425777403
2097-Jan-09 06:00:00, 3280.2384731605698
2097-Jan-09 07:00:00, 3281.8942496468908
2097-Jan-09 08:00:00, 3283.3461173144033
2097-Jan-09 09:00:00, 3284.4928432564425
2097-Jan-09 10:00:00, 3285.2552216744848
2097-Jan-09 11:00:00, 3285.5783286831015
2097-Jan-09 12:00:00, 3285.4377484924339
2097-Jan-09 13:00:00, 3284.8334078887056
2097-Jan-09 14:00:00, 3283.7966920262515
2097-Jan-09 15:00:00, 3282.3986994629786
2097-Jan-09 16:00:00, 3280.7317401342793
2097-Jan-09 17:00:00, 3278.9039497115564
2097-Jan-09 18:00:00, 3277.0424572637949
2097-Jan-09 19:00:00, 3275.2761433935907
2097-Jan-09 20:00:00, 3273.724929590981
2097-Jan-09 21:00:00, 3272.4900772722872
2097-Jan-09 22:00:00, 3271.6482628915005
2097-Jan-09 23:00:00, 3271.2515240467542
2097-Jan-10 00:00:00, 3271.3224071304244
2097-Jan-10 01:00:00, 3271.8501318299036
2097-Jan-10 02:00:00, 3272.7937770095477
2097-Jan-10 03:00:00, 3274.0884093331529
2097-Jan-10 04:00:00, 3275.6428735649342
2097-Jan-10 05:00:00, 3277.3469161780231
2097-Jan-10 06:00:00, 3279.0817768005309
2097-Jan-10 07:00:00, 3280.7282586577599
2097-Jan-10 08:00:00, 3282.1709735115569
2097-Jan-10 09:00:00, 3283.3088805630796
2097-Jan-10 10:00:00, 3284.0628328675084
2097-Jan-10 11:00:00, 3284.3780641734538
2097-Jan-10 12:00:00, 3284.2300782084776
2097-Jan-10 13:00:00, 3283.6188269374497
2097-Jan-10 14:00:00, 3282.57580381142
2097-Jan-10 15:00:00, 3281.1720020857715
2097-Jan-10 16:00:00, 3279.4997224305894
2097-Jan-10 17:00:00, 3277.6670621820253
2097-Jan-10 18:00:00, 3275.8011718324851
2097-Jan-10 19:00:00, 3274.0308866901796
2097-Jan-10 20:00:00, 3272.4760697640527
2097-Jan-10 21:00:00, 3271.2380345058682
2097-Jan-10 22:00:00, 3270.3933752933908
2097-Jan-10 23:00:00, 3269.994185801876
2097-Jan-11 00:00:00, 3270.0628733642511
2097-Jan-11 01:00:00, 3270.5886655078498
2097-Jan-11 02:00:00, 3271.5306825374755
2097-Jan-11 03:00:00, 3272.8239017179098
2097-Jan-11 04:00:00, 3274.3772948800915
2097-Jan-11 05:00:00, 3276.0804969693222
2097-Jan-11 06:00:00, 3277.8146408643952
2097-Jan-11 07:00:00, 3279.4605934918895
2097-Jan-11 08:00:00, 3280.9030282459262
2097-Jan-11 09:00:00, 3282.0408328273902
2097-Jan-11 10:00:00, 3282.7948638674075
2097-Jan-11 11:00:00, 3283.1103112679407
2097-Jan-11 12:00:00, 3282.9626621769557
2097-Jan-11 13:00:00, 3282.3607432555573
2097-Jan-11 14:00:00, 3281.3441530675454
2097-Jan-11 15:00:00, 3279.9770924771337
