Time Stamp, Total Heat Transfer Rate [W]
2097-Jan-01 00:00:00, 3570.0256777650916
2097-Jan-01 01:00:00, 3570.0645595016999
2097-Jan-01 02:00:00, 3570.3288568253261
2097-Jan-01 03:00:00, 3570.8227451597263
2097-Jan-01 04:00:00, 3571.4693628077634
2097-Jan-01 05:00:00, 3572.1025038201747
2097-Jan-01 06:00:00, 3572.759075242167
2097-Jan-01 07:00:00, 3573.1028389236335
2097-Jan-01 08:00:00, 3572.999497439178
2097-Jan-01 09:00:00, 3572.3170264753348
2097-Jan-01 10:00:00, 3570.9634995241126
2097-Jan-01 11:00:00, 3568.930666385223
2097-Jan-01 12:00:00, 3566.2165426354691
2097-Jan-01 13:00:00, 3562.9075757832197
2097-Jan-01 14:00:00, 3559.1110078988913
2097-Jan-01 15:00:00, 3554.9895293857221
2097-Jan-01 16:00:00, 3550.7066927839232
2097-Jan-01 17:00:00, 3546.4033903497157
2097-Jan-01 18:00:00, 3542.4260690807541
2097-Jan-01 19:00:00, 3538.9208005668193
2097-Jan-01 20:00:00, 3535.8793792551764
2097-Jan-01 21:00:00, 3533.5440816895089
2097-Jan-01 22:00:00, 3531.995688091376
2097-Jan-01 23:00:00, 3531.2852779786967
2097-Jan-02 00:00:00, 3531.3896819983629
2097-Jan-02 01:00:00, 3532.2755909224807
2097-Jan-02 02:00:00, 3533.7884975901247
2097-Jan-02 03:00:00, 3535.7674066349559
2097-Jan-02 04:00:00, 3538.0220432799774
2097-Jan-02 05:00:00, 3540.3941699703023
2097-Jan-02 06:00:00, 3542.5179473846488
2097-Jan-02 07:00:00, 3544.3105798058127
2097-Jan-02 08:00:00, 3545.668044353954
2097-Jan-02 09:00:00, 3546.3767796308207
2097-Jan-02 10:00:00, 3546.3384745670842
2097-Jan-02 11:00:00, 3545.476723275126
2097-Jan-02 12:00:00, 3543.885795721691
2097-Jan-02 13:00:00, 3541.5690874334555
2097-Jan-02 14:00:00, 3538.6725172620431
2097-Jan-02 15:00:00, 3535.4205980444917
2097-Jan-02 16:00:00, 3531.9608853982782
