Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2131.0141440350535
2096-Dec-31 01:00:00, 2131.0141439691774
2096-Dec-31 02:00:00, 2131.014143916103
2096-Dec-31 03:00:00, 2131.0141438720666
2096-Dec-31 04:00:00, 2131.0141438345886
2096-Dec-31 05:00:00, 2131.0141438029441
2096-Dec-31 06:00:00, 2131.0141437746997
2096-Dec-31 07:00:00, 2131.0141437498064
2096-Dec-31 08:00:00, 2131.0141437272291
2096-Dec-31 09:00:00, 2131.0141437069283
2096-Dec-31 10:00:00, 2131.0141436877257
2096-Dec-31 11:00:00, 2131.01414366988
2096-Dec-31 12:00:00, 2131.0141436539993
2096-Dec-31 13:00:00, 2131.0141436392055
2096-Dec-31 14:00:00, 2131.0141436252202
2096-Dec-31 15:00:00, 2131.0141436122153
2096-Dec-31 16:00:00, 2131.0141435999813
2096-Dec-31 17:00:00, 2131.0141435881551
2096-Dec-31 18:00:00, 2131.0141435774517
2096-Dec-31 19:00:00, 2131.0141435665232
2096-Dec-31 20:00:00, 2131.014143556748
2096-Dec-31 21:00:00, 2131.0141435476066
2096-Dec-31 22:00:00, 2131.014143538554
2096-Dec-31 23:00:00, 2131.0141435299606
2097-Jan-01 00:00:00, 2131.0141435217088
2097-Jan-01 01:00:00, 2131.0141435146857
2097-Jan-01 02:00:00, 2131.0141435069172
2097-Jan-01 03:00:00, 2131.0141434994293
2097-Jan-01 04:00:00, 2131.014143492765
2097-Jan-01 05:00:00, 2131.0141434859379
2097-Jan-01 06:00:00, 2131.0141434790571
2097-Jan-01 07:00:00, 2131.0141434728375
2097-Jan-01 08:00:00, 2131.0141434663274
2097-Jan-01 09:00:00, 2131.0141434604275
2097-Jan-01 10:00:00, 2131.0141434544021
2097-Jan-01 11:00:00, 2131.0141434488523
2097-Jan-01 12:00:00, 2131.0141434437537
2097-Jan-01 13:00:00, 2131.0141434389307
2097-Jan-01 14:00:00, 2131.014143433551
2097-Jan-01 15:00:00, 2131.0141434289558
2097-Jan-01 16:00:00, 2131.0141434239849
2097-Jan-01 17:00:00, 2131.0141434193197
2097-Jan-01 18:00:00, 2131.0141434148468
2097-Jan-01 19:00:00, 2131.0141434102152
2097-Jan-01 20:00:00, 2131.0141434055781
2097-Jan-01 21:00:00, 2131.0141434014467
2097-Jan-01 22:00:00, 2131.0141433973054
2097-Jan-01 23:00:00, 2131.0141433934878
2097-Jan-02 00:00:00, 2131.0141433895255
2097-Jan-02 01:00:00, 2131.0141433860795
2097-Jan-02 02:00:00, 2131.0141433825638
2097-Jan-02 03:00:00, 2131.0141433790436
2097-Jan-02 04:00:00, 2131.0141433752974
2097-Jan-02 05:00:00, 2131.0141433717067
2097-Jan-02 06:00:00, 2131.0141433683439
2097-Jan-02 07:00:00, 2131.0141433646722
2097-Jan-02 08:00:00, 2131.0141433615772
2097-Jan-02 09:00:00, 2131.0141433578765
2097-Jan-02 10:00:00, 2131.014143354796
2097-Jan-02 11:00:00, 2131.0141433523499
2097-Jan-02 12:00:00, 2131.0141433491281
2097-Jan-02 13:00:00, 2131.0141433461472
2097-Jan-02 14:00:00, 2131.0141433434515
2097-Jan-02 15:00:00, 2131.0141433406088
2097-Jan-02 16:00:00, 2131.0141433377357
2097-Jan-02 17:00:00, 2131.014143335507
2097-Jan-02 18:00:00, 2131.0141433325412
2097-Jan-02 19:00:00, 2131.0141433299382
2097-Jan-02 20:00:00, 2131.0141433275462
2097-Jan-02 21:00:00, 2131.0141433246072
2097-Jan-02 22:00:00, 2131.0141433221943
2097-Jan-02 23:00:00, 2131.0141433195449
2097-Jan-03 00:00:00, 2131.0141433171007
2097-Jan-03 01:00:00, 2131.0141433146287
2097-Jan-03 02:00:00, 2131.014143312274
2097-Jan-03 03:00:00, 2131.0141433096578
