Time Stamp, Total Heat Transfer Rate [W]
2096-Dec-31 00:00:00, 2008.9004099098593
2096-Dec-31 01:00:00, 2008.9004097000366
2096-Dec-31 02:00:00, 2008.9004095671944
2096-Dec-31 03:00:00, 2008.9004094455133
2096-Dec-31 04:00:00, 2008.9004093570852
2096-Dec-31 05:00:00, 2008.9004092702558
2096-Dec-31 06:00:00, 2008.9004092028008
2096-Dec-31 07:00:00, 2008.9004091360121
2096-Dec-31 08:00:00, 2008.9004090828898
2096-Dec-31 09:00:00, 2008.9004090297026
2096-Dec-31 10:00:00, 2008.9004089848941
2096-Dec-31 11:00:00, 2008.9004089402065
2096-Dec-31 12:00:00, 2008.9004089034211
2096-Dec-31 13:00:00, 2008.9004088648239
2096-Dec-31 14:00:00, 2008.9004088319271
2096-Dec-31 15:00:00, 2008.9004087981414
2096-Dec-31 16:00:00, 2008.9004087693279
2096-Dec-31 17:00:00, 2008.9004087394742
2096-Dec-31 18:00:00, 2008.9004087143921
2096-Dec-31 19:00:00, 2008.9004086875179
2096-Dec-31 20:00:00, 2008.9004086641307
2096-Dec-31 21:00:00, 2008.9004086402338
2096-Dec-31 22:00:00, 2008.900408619033
2096-Dec-31 23:00:00, 2008.9004085963848
2097-Jan-01 00:00:00, 2008.9004085774341
2097-Jan-01 01:00:00, 2008.9004085568633
2097-Jan-01 02:00:00, 2008.9004085389622
2097-Jan-01 03:00:00, 2008.9004085208346
2097-Jan-01 04:00:00, 2008.9004085035442
2097-Jan-01 05:00:00, 2008.9004084869305
2097-Jan-01 06:00:00, 2008.9004084712547
2097-Jan-01 07:00:00, 2008.9004084561082
2097-Jan-01 08:00:00, 2008.9004084415176
2097-Jan-01 09:00:00, 2008.9004084274575
2097-Jan-01 10:00:00, 2008.9004084141725
2097-Jan-01 11:00:00, 2008.9004084005303
2097-Jan-01 12:00:00, 2008.9004083869731
2097-Jan-01 13:00:00, 2008.9004083747805
2097-Jan-01 14:00:00, 2008.900408363213
2097-Jan-01 15:00:00, 2008.9004083507912
2097-Jan-01 16:00:00, 2008.900408338958
2097-Jan-01 17:00:00, 2008.9004083289431
2097-Jan-01 18:00:00, 2008.9004083187165
2097-Jan-01 19:00:00, 2008.9004083067355
2097-Jan-01 20:00:00, 2008.9004082971835
2097-Jan-01 21:00:00, 2008.9004082863767
2097-Jan-01 22:00:00, 2008.9004082771125
2097-Jan-01 23:00:00, 2008.900408267835
2097-Jan-02 00:00:00, 2008.9004082592637
2097-Jan-02 01:00:00, 2008.9004082494032
2097-Jan-02 02:00:00, 2008.9004082410563
2097-Jan-02 03:00:00, 2008.9004082323461
2097-Jan-02 04:00:00, 2008.9004082239753
2097-Jan-02 05:00:00, 2008.9004082152778
2097-Jan-02 06:00:00, 2008.9004082074393
2097-Jan-02 07:00:00, 2008.9004081992318
2097-Jan-02 08:00:00, 2008.9004081920309
2097-Jan-02 09:00:00, 2008.9004081836861
2097-Jan-02 10:00:00, 2008.9004081768251
2097-Jan-02 11:00:00, 2008.9004081696928
2097-Jan-02 12:00:00, 2008.9004081629998
2097-Jan-02 13:00:00, 2008.9004081563803
2097-Jan-02 14:00:00, 2008.900408149678
2097-Jan-02 15:00:00, 2008.900408142579
2097-Jan-02 16:00:00, 2008.9004081366886
2097-Jan-02 17:00:00, 2008.9004081301728
2097-Jan-02 18:00:00, 2008.9004081243249
2097-Jan-02 19:00:00, 2008.9004081177236
